,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.36,0.83,1.18,0.83,0.74,0.69,1.3,1.36,1.59,1.65,1.38,0.72,1.78,1.39,1.48,1.78
d_1,0.76,2.44,0.76,0.74,0.73,0.74,1.45,1.35,2.68,0.8,2.19,1.64,2.18,1.79,1.79,1.73
e_1,0.77,0.64,2.46,0.81,0.74,0.66,1.48,1.51,1.7,2.8,1.95,1.68,2.19,1.63,1.08,2.63
c_1,0.75,0.7,0.69,2.62,1.39,0.78,1.3,1.43,0.7,1.47,1.61,1.81,2.0,1.52,1.76,2.55
b_1,0.73,0.78,0.77,0.58,2.78,1.42,1.69,1.17,1.68,2.02,0.48,2.1,2.06,1.99,1.65,2.08
a_1,0.76,0.89,0.81,0.8,0.56,3.28,1.64,1.79,1.7,1.54,1.81,1.9,2.6,1.06,1.61,1.89
h_1,1.33,1.08,0.92,1.2,0.78,0.73,3.95,2.42,2.01,1.91,1.9,2.19,1.66,1.95,2.25,3.09
g_1,0.95,1.49,0.93,0.99,1.03,0.83,1.86,4.26,1.76,1.69,2.1,2.68,2.19,2.54,1.88,1.72
c_0,1.25,0.99,0.97,0.71,0.89,1.09,2.0,2.22,3.74,2.04,3.65,2.29,3.26,2.76,2.41,2.84
d_0,1.1,0.52,0.86,1.84,0.94,1.04,2.06,1.99,1.7,3.76,2.09,2.73,2.61,2.15,2.37,2.41
b_0,1.3,0.91,1.02,1.07,0.77,1.02,2.18,2.15,1.88,2.27,3.97,2.29,2.86,3.88,2.18,2.73
f_0,0.83,1.25,0.85,1.19,0.83,0.91,2.36,2.07,2.34,2.02,2.6,4.2,3.4,2.6,4.17,2.51
h_0,1.42,0.95,0.84,1.0,1.17,0.85,1.24,2.41,1.72,2.11,2.33,2.07,2.05,2.16,2.45,3.44
a_0,1.32,0.88,1.13,1.04,0.98,,2.28,1.81,1.91,2.31,1.89,2.46,2.98,4.66,2.71,3.17
e_0,1.01,1.16,0.52,1.28,1.14,0.93,2.38,2.23,2.17,2.17,2.53,2.15,2.48,1.9,4.82,2.74
g_0,1.12,1.67,0.62,0.91,1.01,0.84,2.16,1.38,2.35,1.79,2.27,3.21,2.54,2.15,2.15,1.89
