,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.19,6.43,10.48,13.65,16.09,19.51,3.18,2.17,2.4,1.77,4.55,3.92,2.01,3.47,,2.49
f_1,11.24,0.19,12.33,13.22,11.5,12.42,2.32,3.17,1.96,2.51,3.88,,1.46,2.96,1.96,2.36
c_1,12.39,11.3,0.16,33.46,12.13,14.94,3.21,1.22,,2.65,4.15,2.79,1.32,2.56,3.18,1.45
d_1,14.85,14.36,11.76,0.15,10.27,15.57,3.16,,2.02,2.65,2.18,3.13,1.43,2.17,2.48,1.23
b_1,9.8,13.19,6.47,11.6,0.13,17.09,4.04,2.92,2.81,,3.88,3.54,2.7,2.47,2.48,1.38
a_1,14.19,11.94,14.15,10.38,6.73,0.09,3.58,3.33,4.42,,3.1,2.16,1.27,,2.24,2.15
h_1,3.63,3.82,2.62,2.82,2.91,3.22,0.07,0.7,0.66,0.64,0.73,0.73,,0.76,0.58,0.41
d_0,1.43,2.66,2.91,,1.86,1.95,0.7,0.09,0.53,0.52,0.74,0.4,0.38,0.45,,0.41
c_0,3.52,2.65,,1.67,3.19,2.21,0.81,0.46,0.08,0.48,0.64,0.41,0.27,0.54,0.38,0.27
b_0,2.31,3.45,4.77,1.79,,,0.82,0.49,0.35,0.06,0.57,0.41,0.3,0.43,,0.46
g_1,3.9,3.88,3.52,3.27,5.3,3.36,0.8,0.62,0.75,0.67,0.04,0.54,0.35,,0.55,
f_0,2.57,,2.92,2.38,2.53,2.16,0.57,0.64,0.5,0.58,0.51,0.06,0.4,0.41,0.41,0.21
h_0,1.61,1.89,1.74,1.43,2.09,1.1,,0.35,0.3,0.34,0.49,0.26,,0.4,0.25,0.2
a_0,2.23,2.15,4.14,2.77,3.18,,0.81,0.57,0.44,0.32,,0.46,0.35,0.05,0.49,0.37
e_0,,2.67,1.89,2.05,3.24,2.08,0.61,,0.51,,0.69,0.29,0.38,0.49,0.04,0.41
g_0,2.49,1.73,1.5,1.44,1.62,2.34,0.34,0.31,0.37,0.33,,0.36,0.19,0.34,0.44,
