,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.42,0.86,0.83,0.95,0.86,0.77,0.22,0.19,0.29,0.17,0.27,0.19,0.17,0.1,0.19,0.14
e_1,0.59,0.42,0.88,1.14,1.02,0.82,0.27,0.23,0.29,0.19,0.23,0.2,0.18,0.14,0.28,0.14
d_1,0.95,1.12,0.4,0.96,0.96,0.8,0.24,0.27,0.16,0.18,0.19,0.18,0.16,0.12,0.18,0.09
c_1,0.98,0.78,1.31,0.4,1.04,0.88,0.28,0.12,0.29,0.29,0.18,0.21,0.19,0.13,0.17,0.14
b_1,1.19,1.04,1.19,0.64,0.38,1.03,0.31,0.2,0.34,0.29,0.19,0.28,0.22,0.16,0.17,0.16
a_1,1.58,1.31,1.21,1.2,0.68,0.32,0.43,0.3,0.41,0.29,0.26,0.39,0.38,0.19,0.26,0.19
h_1,1.78,1.66,1.53,1.75,1.75,1.49,0.29,0.37,0.45,0.31,0.33,0.31,0.28,0.3,0.3,0.22
d_0,2.0,1.26,2.35,2.03,2.18,1.9,0.61,0.31,0.64,0.48,0.41,0.44,0.39,0.33,0.38,0.3
g_1,2.07,1.87,1.88,1.99,2.11,1.79,0.44,0.45,0.26,0.36,0.36,0.4,0.36,0.23,0.37,0.38
c_0,2.15,2.12,1.19,3.04,2.47,1.56,0.59,0.58,0.53,0.29,0.4,0.41,0.35,0.3,0.4,0.26
f_0,3.01,2.1,1.99,1.96,2.01,1.95,0.65,0.52,0.42,0.4,0.29,0.44,0.36,0.31,0.42,0.19
b_0,2.11,1.98,1.71,2.78,3.23,1.7,0.59,0.48,0.55,0.26,0.41,0.27,0.4,0.35,0.42,0.29
a_0,2.84,2.49,2.28,2.86,3.23,2.46,0.7,0.59,0.63,0.4,0.44,0.28,0.27,0.39,0.48,0.33
h_0,2.51,2.51,2.25,2.45,2.53,2.18,0.88,0.54,0.68,0.5,0.51,0.56,0.43,0.46,0.46,0.36
e_0,3.44,2.86,2.39,2.28,2.32,2.38,0.7,0.47,0.61,0.49,0.29,0.53,0.45,0.35,0.27,0.24
g_0,2.87,2.77,2.56,2.71,2.52,2.79,0.59,0.57,0.83,0.53,0.62,0.61,0.46,0.33,0.5,0.44
