,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.63,0.1,0.11,0.06,0.04,0.05,0.32,0.73,0.29,0.3,0.32,0.38,0.54,0.38,,0.63
f_1,0.13,5.96,0.09,0.08,0.07,0.11,0.29,0.43,0.28,0.39,0.38,,0.64,0.32,0.29,0.45
c_1,0.08,0.08,6.06,0.09,0.13,0.07,0.27,0.41,0.29,,0.34,0.39,0.69,0.38,0.46,0.52
d_1,0.07,0.06,0.06,6.26,0.11,0.07,0.4,,0.34,0.84,0.31,0.35,0.65,0.4,0.39,0.56
b_1,0.08,0.07,0.07,0.08,7.28,0.14,0.25,0.36,0.24,0.36,,0.41,0.72,0.41,0.51,0.71
a_1,0.1,0.08,0.07,0.07,0.05,10.14,0.36,0.34,0.25,0.37,0.51,0.32,0.62,,0.39,0.72
h_1,0.29,0.45,0.26,0.31,0.27,0.28,16.17,1.43,1.94,1.74,0.93,1.5,,1.22,,2.94
d_0,0.38,0.42,0.77,,0.46,0.4,1.81,11.06,1.16,1.9,2.35,1.98,2.36,2.55,1.92,2.41
g_1,0.26,0.35,0.22,0.38,0.31,0.25,1.16,1.16,17.96,1.75,1.94,1.81,1.91,1.45,1.19,
c_0,0.41,0.41,,0.41,0.44,0.28,1.91,1.47,1.25,12.95,4.58,2.18,3.66,,1.76,2.98
b_0,0.4,0.33,0.34,0.48,,0.38,1.34,2.23,1.55,1.8,14.49,2.1,3.1,3.87,2.22,2.25
f_0,0.34,,0.33,0.52,0.37,0.32,1.32,2.46,1.25,1.7,2.26,15.86,3.01,,4.64,3.17
h_0,0.49,0.81,0.65,0.48,0.54,0.49,,3.5,3.32,3.27,2.1,3.33,,3.2,2.85,5.04
a_0,0.43,0.36,0.42,0.4,0.34,,1.22,2.65,,2.05,,2.42,3.2,22.45,2.72,2.7
e_0,,0.35,0.51,0.37,0.38,0.6,1.66,2.45,1.19,2.39,1.83,,3.35,,22.56,4.24
g_0,0.42,0.42,0.5,0.96,0.76,0.61,1.89,2.29,,2.98,2.81,4.23,4.68,2.93,3.53,
