,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.09,1.55,2.47,2.33,2.37,2.17,0.68,0.7,0.51,0.52,0.5,0.62,0.49,0.37,0.64,0.43
f_1,2.21,1.09,2.31,2.47,2.16,2.16,0.48,0.68,0.48,0.5,0.45,0.49,0.45,0.26,0.36,0.35
d_1,2.62,2.58,1.08,2.24,2.31,2.14,0.59,0.5,0.46,0.67,0.47,0.47,0.41,0.3,0.5,0.22
c_1,2.36,2.91,3.64,1.1,2.79,2.39,0.9,0.72,0.79,0.34,0.61,0.58,0.55,0.38,0.65,0.43
b_1,3.03,3.43,3.06,1.96,1.11,3.17,1.28,1.07,0.78,0.72,0.95,0.67,0.7,0.44,0.69,0.47
a_1,4.85,4.84,4.94,4.11,2.37,1.12,1.48,1.45,1.18,1.17,1.22,0.99,1.24,0.88,0.88,0.72
h_1,8.67,9.06,8.25,8.93,7.5,7.11,1.49,2.4,1.76,2.08,1.53,1.55,1.49,1.43,1.55,1.14
g_1,10.35,10.46,9.22,10.9,9.83,8.27,2.32,1.55,2.14,2.07,1.95,1.84,1.82,1.17,1.95,1.71
c_0,13.4,13.98,7.6,18.19,12.7,10.37,3.32,3.1,1.72,3.96,2.41,2.23,2.12,1.73,2.52,1.52
d_0,8.03,11.66,16.13,13.42,13.2,12.11,4.04,3.32,3.23,1.85,2.69,2.5,2.81,1.82,3.23,2.21
b_0,12.93,13.98,12.2,16.2,18.32,12.11,3.9,3.54,1.74,3.05,1.83,2.22,2.4,1.97,2.48,1.62
f_0,14.57,18.04,15.3,14.68,13.88,14.44,4.07,3.08,2.84,3.26,3.22,1.96,2.71,2.27,3.55,1.45
a_0,17.72,18.22,16.51,19.01,23.22,19.15,5.49,5.17,3.35,4.01,1.98,3.12,2.17,2.17,3.2,1.92
h_0,18.8,20.57,18.98,20.17,18.32,16.61,6.64,5.11,3.93,4.17,3.46,3.38,3.17,3.78,3.29,2.69
e_0,26.13,31.3,19.29,22.13,21.54,19.76,6.23,4.85,4.18,4.91,4.35,1.95,4.01,2.74,1.95,2.5
g_0,26.51,26.54,22.18,22.98,23.83,22.08,5.65,7.84,5.01,5.45,4.7,4.18,5.06,2.84,4.44,3.35
