,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.76,1.11,1.0,0.66,0.78,0.88,0.71,0.7,0.61,0.72,0.6,0.61,0.82,0.62
d_1,1.19,1.0,1.04,0.88,0.89,0.82,0.69,0.73,0.53,0.84,0.57,0.7,0.51,0.56,0.61,0.51
f_1,1.31,0.96,1.0,0.99,0.89,0.81,0.58,0.66,0.68,0.58,0.7,0.57,0.57,0.63,0.5,0.54
c_1,0.9,1.14,1.01,1.0,1.5,0.77,0.74,0.52,0.61,0.52,0.55,0.6,0.53,0.53,0.61,0.73
b_1,1.0,1.12,1.13,0.67,1.0,1.42,0.77,0.78,0.81,0.71,0.74,0.69,0.75,0.52,0.69,0.56
a_1,1.51,1.22,1.24,1.3,0.7,1.0,0.78,0.65,0.8,0.85,0.87,0.64,0.67,0.71,0.67,0.64
h_1,1.27,1.5,1.69,1.34,1.27,1.26,1.0,0.82,1.09,0.85,0.88,0.75,0.75,0.79,0.72,0.77
d_0,1.11,1.36,1.52,2.02,1.21,1.55,1.28,1.0,1.07,0.88,0.96,0.85,0.97,0.82,0.64,0.86
g_1,1.36,1.84,1.44,1.63,1.22,1.27,0.92,0.89,1.0,0.9,0.98,1.03,0.64,0.75,0.69,0.75
c_0,1.43,1.15,1.82,1.9,1.37,1.15,1.28,1.15,1.03,1.0,1.38,0.94,1.22,0.9,0.78,0.81
b_0,1.67,1.74,1.5,1.9,1.46,1.13,1.1,0.99,1.08,0.75,1.0,0.85,1.12,1.16,0.71,0.78
f_0,1.42,1.47,1.65,1.68,1.47,1.47,1.22,1.12,0.94,1.06,1.04,1.0,0.98,1.06,1.4,0.78
h_0,1.58,1.83,1.75,2.01,1.3,1.51,1.36,1.07,1.58,0.83,0.85,1.01,1.0,0.86,0.81,1.04
a_0,1.61,1.89,1.69,1.76,2.08,,1.24,1.22,1.52,1.06,0.81,1.05,1.15,1.0,0.94,0.96
e_0,1.32,1.8,2.07,1.76,1.56,1.58,1.35,1.5,1.47,1.22,1.38,0.73,1.23,1.07,1.0,1.17
g_0,1.57,1.92,1.94,1.46,1.72,1.55,1.31,1.22,1.34,1.24,1.27,1.34,0.97,1.0,0.89,1.04
