,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.73,0.9,0.83,1.06,0.73,0.49,0.51,0.65,0.38,0.37,0.33,0.32,0.38,0.52,0.32
f_1,1.37,1.0,0.99,0.97,0.93,0.62,0.4,0.45,0.37,0.35,0.49,0.38,0.3,0.27,0.25,0.27
c_1,1.11,1.01,1.0,1.05,1.2,0.68,0.54,0.45,0.32,0.31,0.42,0.35,0.41,0.39,0.3,0.28
d_1,1.21,1.03,0.96,1.0,0.91,0.81,0.59,0.39,0.45,0.51,0.48,0.41,0.41,0.32,0.31,0.26
b_1,0.94,1.08,0.83,1.1,1.0,1.02,0.58,0.51,0.5,0.46,0.43,0.55,0.31,0.38,0.31,0.43
a_1,1.38,1.62,1.48,1.23,0.98,1.0,0.79,0.62,0.62,0.64,0.47,0.57,0.33,0.52,0.53,0.35
h_1,1.99,2.54,1.87,1.78,1.77,1.23,1.0,1.1,0.92,0.79,0.63,0.74,0.66,0.64,0.58,0.62
g_1,1.98,2.2,2.3,2.57,1.89,1.57,0.92,1.0,0.97,0.85,1.04,0.79,0.69,0.67,0.73,0.82
d_0,1.48,2.83,3.28,2.02,1.92,1.55,1.09,1.02,1.0,0.84,0.75,0.88,0.81,0.77,0.66,0.92
c_0,2.72,3.16,2.93,1.89,2.18,1.53,1.25,1.18,1.1,1.0,0.92,1.4,0.85,0.88,0.72,0.99
f_0,2.55,2.1,2.78,2.24,2.15,2.05,1.61,0.94,1.29,0.98,1.0,1.12,0.98,0.97,1.23,0.7
b_0,3.06,2.73,3.06,2.48,1.75,1.58,1.27,1.25,1.09,0.69,0.94,1.0,1.26,0.87,0.79,0.78
a_0,3.09,3.16,2.47,2.59,3.07,,1.43,1.5,1.29,1.1,1.01,0.82,1.0,0.89,1.13,0.87
h_0,2.64,3.81,2.56,3.15,2.64,1.8,1.49,1.5,1.29,1.14,1.01,1.14,1.09,1.0,0.87,1.02
e_0,2.13,4.28,3.1,3.19,2.94,2.04,1.61,1.37,1.4,1.31,0.84,1.33,0.82,1.2,1.01,0.81
g_0,3.17,3.71,3.46,3.67,2.28,2.79,1.6,1.33,1.21,1.07,1.47,1.2,1.06,0.94,1.29,1.0
