,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.44,1.21,2.1,2.04,1.97,2.44,0.58,0.61,0.47,0.42,0.48,0.54,0.48,0.36,0.3,1.25
f_1,1.75,0.44,1.77,1.82,1.91,2.16,0.43,0.93,0.45,0.39,0.38,0.91,0.41,0.2,0.37,0.32
d_1,2.54,1.9,0.42,2.23,1.96,1.89,0.64,0.38,0.95,0.36,0.45,0.35,0.35,0.28,0.21,0.37
c_1,1.87,2.02,2.59,0.42,2.2,1.66,0.6,0.51,0.23,0.93,0.45,0.35,0.46,0.32,0.37,0.39
b_1,2.68,2.92,2.24,1.21,0.38,2.44,0.65,0.69,0.53,0.63,1.36,0.63,0.55,0.34,0.32,0.36
a_1,3.27,2.8,2.7,4.14,1.51,0.31,1.27,0.72,0.67,0.53,0.56,0.58,1.6,0.41,0.41,0.55
h_1,3.39,2.84,3.02,3.23,3.59,2.65,0.34,0.98,0.76,0.75,0.7,0.57,0.7,1.0,0.58,0.64
g_1,3.24,4.16,3.06,4.23,4.17,3.46,0.8,0.32,0.78,0.78,0.63,0.56,0.69,0.43,0.68,0.71
d_0,1.99,3.87,8.04,3.79,4.42,3.6,1.13,1.26,0.4,0.85,0.8,0.72,0.79,0.62,0.55,0.68
c_0,3.27,4.7,1.92,8.79,4.75,3.69,1.0,1.08,1.19,0.39,0.83,0.78,0.8,0.58,0.51,0.85
b_0,3.66,3.61,2.89,5.46,8.21,3.58,1.06,1.21,0.84,0.46,0.36,0.74,0.76,0.71,0.66,0.77
f_0,3.77,8.97,3.95,4.16,4.29,3.68,1.13,0.68,0.79,0.73,0.71,0.36,0.77,0.7,0.34,0.69
a_0,4.66,4.25,4.1,4.82,5.29,10.63,1.23,1.5,1.18,0.83,0.51,0.83,0.34,0.55,0.56,1.09
h_0,3.67,5.35,4.27,4.36,4.53,3.68,1.82,1.49,1.02,0.94,0.86,0.82,1.03,1.35,0.61,0.84
g_0,4.81,4.72,5.24,4.99,6.03,4.86,1.17,2.2,1.18,1.11,0.92,1.03,0.85,0.52,1.1,0.93
e_0,6.31,8.41,5.89,5.44,4.87,3.72,1.38,1.3,0.97,1.16,1.08,0.48,0.8,0.69,0.68,0.33
