,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.83,0.91,0.94,0.91,0.75,0.37,0.42,0.37,0.39,0.39,0.54,0.3,0.38,0.34,0.43
d_1,0.96,0.4,0.9,0.86,0.87,0.77,0.48,0.35,0.43,0.78,0.36,0.39,0.32,0.44,0.27,0.36
e_1,0.61,0.93,0.4,0.98,0.97,0.77,0.51,0.59,0.45,0.5,0.42,0.46,0.34,0.38,0.4,0.51
c_1,0.81,1.03,0.78,0.38,0.96,1.0,0.46,0.48,0.53,0.24,0.32,0.39,0.32,0.36,0.31,0.4
b_1,0.92,0.87,0.92,0.56,0.36,1.12,0.49,0.49,0.43,0.41,0.72,0.38,0.38,0.42,0.36,0.43
a_1,1.0,0.91,0.99,0.87,0.53,0.32,0.51,0.54,0.39,0.4,0.59,0.4,0.33,0.75,0.36,0.32
h_1,0.89,0.71,0.77,0.82,0.75,0.74,0.25,0.43,0.35,0.37,0.36,0.32,0.37,0.34,0.3,0.33
g_1,1.0,0.84,0.7,0.83,0.8,0.7,0.36,0.23,0.32,0.28,0.32,0.34,0.27,0.35,0.35,0.34
c_0,0.8,0.5,0.74,1.24,0.85,0.9,0.45,0.45,0.25,0.44,0.42,0.4,0.29,0.38,0.27,0.37
d_0,0.77,1.09,0.48,0.98,0.84,0.84,0.48,0.58,0.34,0.25,0.35,0.35,0.32,0.34,0.3,0.42
b_0,0.87,0.68,0.73,1.14,1.2,0.65,0.42,0.37,0.2,0.33,0.23,0.32,0.31,0.44,0.31,0.33
f_0,1.1,0.69,0.68,0.83,0.8,0.94,0.44,0.32,0.32,0.34,0.34,0.23,0.3,0.28,0.22,0.39
h_0,0.78,0.78,0.66,0.91,0.83,0.72,0.55,0.39,0.34,0.35,0.31,0.35,0.41,0.3,0.34,0.33
a_0,0.88,0.7,0.8,0.91,0.88,0.81,0.41,0.37,0.32,0.4,0.19,0.35,0.3,0.2,0.29,0.34
g_0,0.9,0.71,0.75,0.85,0.8,0.77,0.35,0.53,0.37,0.36,0.33,0.36,0.23,0.32,0.38,0.31
e_0,0.97,0.76,1.25,0.75,0.69,0.98,0.46,0.39,0.31,0.29,0.36,0.21,0.3,0.32,0.28,0.19
