,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.24,0.88,1.01,1.05,1.11,0.94,1.15,1.0,0.93,1.04,,1.02,0.92,0.78,0.98
e_1,0.81,1.0,1.07,1.04,0.97,0.86,0.9,1.08,1.02,1.34,1.18,1.05,0.91,0.98,,0.77
d_1,1.14,0.94,1.0,1.55,0.85,1.0,1.04,0.86,1.28,,0.91,0.85,0.87,0.95,1.09,0.85
c_1,0.99,0.96,0.65,1.0,1.5,0.97,1.06,1.26,,0.6,1.15,1.08,0.92,1.15,1.0,1.22
b_1,0.95,1.03,1.18,0.67,1.0,1.19,1.24,1.19,1.04,1.02,,0.95,1.0,0.88,1.04,0.89
a_1,0.9,1.16,1.0,1.03,0.84,1.0,1.0,0.91,0.88,1.1,,,,1.16,,1.14
h_1,1.06,1.11,0.96,0.95,0.8,1.0,1.0,1.07,1.0,1.0,0.91,0.98,1.11,,1.0,1.16
g_1,0.87,0.93,1.17,0.79,0.84,1.1,0.93,1.0,1.2,1.04,0.88,1.18,0.92,0.94,1.31,
c_0,1.0,0.98,0.78,,0.96,1.13,1.0,0.84,1.0,1.0,1.43,1.04,1.13,1.0,0.85,0.96
d_0,1.08,0.75,,1.68,0.98,0.91,1.0,0.96,1.0,1.0,0.89,0.87,1.04,0.98,0.96,1.06
b_0,0.96,0.85,1.1,0.87,,,1.1,1.14,0.7,1.12,1.0,0.75,1.46,1.37,1.07,1.36
f_0,,0.95,1.18,0.92,1.05,,1.02,0.85,0.96,1.14,1.33,1.0,0.86,0.86,1.33,0.7
a_0,0.98,1.1,1.15,1.08,1.0,,0.9,1.09,0.89,0.96,0.69,1.16,1.0,1.26,,0.86
h_0,1.09,1.02,1.05,0.87,1.13,0.86,,1.06,1.0,1.02,0.73,1.16,0.8,,0.82,1.41
e_0,1.28,,0.92,1.0,0.97,,1.0,0.76,1.17,1.04,0.93,0.75,,1.21,1.0,1.0
g_0,1.02,1.3,1.18,0.82,1.12,0.87,0.86,,1.04,0.94,0.73,1.43,1.17,0.71,1.0,
