,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.94,0.52,0.7,1.11,0.72,0.57,1.14,2.3,0.88,0.87,1.09,1.01,0.94,1.06,0.85,0.95
d_1,0.6,13.7,0.79,0.5,0.62,0.57,0.93,0.64,0.98,2.62,1.35,1.17,1.14,1.07,1.23,1.14
f_1,1.56,0.62,9.71,0.66,0.66,0.71,0.77,0.92,0.74,0.8,0.94,0.56,1.01,1.0,0.64,0.88
c_1,0.61,0.64,0.68,11.74,1.82,0.81,0.89,0.86,0.89,0.44,0.56,0.96,0.85,0.89,0.87,0.87
b_1,0.65,0.74,0.72,0.64,11.48,2.0,0.9,0.74,0.94,0.86,0.59,0.82,0.9,0.56,0.9,0.94
a_1,0.64,0.86,0.9,0.78,0.55,18.96,0.97,0.85,1.1,0.91,0.92,0.94,1.11,0.64,0.88,0.96
h_1,0.73,0.93,1.43,0.68,0.69,0.6,3.01,0.75,1.31,0.94,1.09,0.94,0.7,1.19,1.01,1.35
d_0,0.74,0.53,0.72,2.6,0.94,0.67,1.11,1.83,1.0,0.57,1.05,0.85,1.0,1.14,1.06,1.0
g_1,0.58,1.79,0.59,0.73,0.69,0.74,0.9,0.68,4.18,1.06,0.99,2.51,0.88,1.03,1.3,0.9
c_0,0.75,1.0,0.95,0.56,0.51,0.71,1.05,1.17,0.99,2.49,3.34,1.22,1.45,1.43,1.23,1.16
b_0,0.88,0.82,0.87,0.95,0.51,0.52,1.36,1.1,1.28,1.12,2.58,1.41,1.39,2.93,1.13,1.04
f_0,0.64,1.06,0.51,0.81,0.88,0.81,1.2,1.21,1.3,1.28,1.18,3.07,1.08,1.4,3.6,1.37
h_0,0.72,1.08,1.0,0.86,0.6,0.71,0.75,0.86,1.37,0.99,0.93,1.07,0.79,1.0,1.01,1.57
a_0,0.89,1.08,0.76,1.01,0.8,0.42,1.12,1.14,1.38,0.91,0.98,1.04,1.35,2.38,1.18,0.97
e_0,0.6,1.16,0.8,0.69,0.74,0.67,1.29,1.33,1.14,1.08,1.57,1.13,1.56,1.3,3.19,1.35
g_0,0.6,1.81,0.68,0.71,0.62,0.6,1.07,0.86,0.73,1.4,1.34,1.86,1.04,1.13,1.41,0.98
