,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,12618.55,165.9,152.15,233.55,407.42,1447.06,218898.75,256674.05,1201935.17,593731.76,673166.27,1627456.47,7181193.46,3119112.01,,22175711.58
d_1,144.97,14917.86,177.67,241.56,389.78,1292.59,295012.51,309721.52,,1087818.81,1019508.4,1587076.69,5401775.92,4839103.0,8813601.56,18348906.49
f_1,260.39,166.73,15013.06,302.3,348.05,1634.66,219801.87,230348.89,647878.93,702642.32,697066.84,,7436159.55,7805483.24,6037436.84,18370442.76
c_1,198.72,153.16,264.1,22311.72,628.0,1327.25,230519.66,239782.59,609100.65,,619882.09,834023.44,9026125.05,8158770.02,7038857.07,18230388.56
b_1,158.07,198.79,182.32,253.63,31135.43,2916.3,262306.85,317825.51,710275.84,752125.51,,1281549.93,7562180.59,,8061480.25,15058149.01
a_1,100.43,212.27,93.95,254.01,336.76,201103.79,196228.45,282877.24,601673.92,826540.19,753044.31,2022856.4,8709520.2,,,25725866.59
h_1,613.68,534.09,1074.47,862.8,1114.9,8927.77,11704449.82,1236207.17,2451058.74,2673876.57,2736870.71,4275404.87,,20485135.77,29455408.62,90621439.74
g_1,531.77,1326.28,542.68,1210.48,985.42,3333.35,855677.79,15096711.81,2048070.2,2188281.34,2325982.81,8783105.15,27068820.99,20357363.68,30993550.06,
d_0,865.94,,1108.3,2146.35,1711.63,6217.56,1045040.16,1617504.84,19973425.32,2583465.23,3661379.12,6104691.62,43425884.11,25934967.69,42394748.83,104809936.85
c_0,1023.57,1031.09,1011.22,,1560.45,5907.3,1016254.62,1310792.34,2348535.58,19178348.54,8890732.69,6878196.26,44835548.8,26090266.9,56864812.81,66386600.05
b_0,793.94,829.17,973.06,1364.3,,7824.34,1014510.9,1696259.75,3077766.98,3171025.9,29279684.22,5794655.6,32049381.06,55949593.23,55891204.46,79556106.87
f_0,772.69,1040.72,,943.45,1645.8,7652.38,1329076.72,1216584.83,3192555.5,2521790.99,4040142.47,55299114.28,36569165.57,33599958.15,101457518.58,114663862.53
h_0,1015.81,1889.38,2202.85,1991.13,2420.19,7525.15,,2409450.26,4057172.77,3582950.15,6558934.54,11048730.66,,32024698.26,67098588.35,221178298.43
a_0,751.83,533.93,760.85,1730.39,,,1512202.82,1404345.28,2402253.64,3248495.17,4165418.21,8480315.81,49609333.13,282057323.08,44987364.83,101108638.47
e_0,,1290.19,898.47,890.71,1243.03,,1416676.92,1044152.98,4186203.89,3968005.43,5379094.59,6147617.99,42049271.07,34364913.97,506293484.64,
g_0,1111.94,1809.65,1158.37,2214.71,1717.08,11088.63,1714664.62,,3700924.21,6672864.29,7025215.89,17245559.42,53805587.55,37976513.21,,
