,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.66,0.68,0.45,0.77,0.62,0.54,0.8,1.73,0.9,0.91,1.03,1.05,1.16,1.15,0.4,0.86
f_1,1.07,2.78,0.56,0.61,0.44,0.52,1.04,0.81,0.96,0.72,1.0,0.38,0.81,0.89,0.78,1.05
d_1,0.63,0.65,3.15,0.41,0.62,0.61,0.89,0.26,1.76,0.94,0.94,1.0,0.96,1.03,0.89,0.98
c_1,0.58,0.52,0.6,3.31,1.24,0.52,0.7,0.85,0.19,0.73,0.8,0.86,0.92,0.7,1.03,0.87
b_1,0.46,0.65,0.6,0.69,3.69,1.11,0.81,0.99,0.85,1.09,0.49,0.92,0.93,0.77,1.02,0.82
a_1,0.63,0.76,0.65,0.64,0.47,4.77,1.01,1.0,0.74,0.59,0.9,0.86,0.93,0.34,1.16,1.04
h_1,0.66,1.02,0.87,0.63,0.63,0.57,3.01,0.97,1.17,1.37,1.26,1.11,0.63,1.18,0.84,1.4
d_0,0.75,0.79,0.43,1.42,0.79,0.69,0.89,2.07,0.76,1.03,1.0,1.14,1.38,1.05,1.04,1.09
c_0,0.77,0.91,0.95,0.38,0.53,0.89,1.35,0.82,2.26,1.07,2.0,1.25,1.19,1.25,1.31,1.26
g_1,0.53,0.59,1.47,0.69,0.54,0.75,1.09,0.88,1.04,3.83,1.02,1.87,1.09,0.88,1.43,0.68
b_0,0.76,0.8,0.86,0.71,0.33,0.69,1.21,1.16,1.23,1.13,2.43,1.32,1.3,2.3,1.37,1.33
f_0,0.56,0.41,0.96,0.92,0.66,0.84,1.21,1.17,1.24,1.38,1.29,2.77,1.53,1.39,2.75,1.4
h_0,0.72,1.07,0.77,0.84,0.71,0.69,0.81,1.24,1.21,1.62,1.06,1.27,0.68,1.04,1.29,1.41
a_0,0.74,0.92,0.9,0.79,0.6,0.22,1.33,1.01,1.13,1.38,1.03,1.49,1.25,3.54,1.18,1.44
e_0,0.26,0.75,0.99,0.71,0.91,0.83,1.37,1.07,1.17,1.3,1.52,1.5,1.45,1.31,3.86,1.41
g_0,0.64,0.57,1.25,0.71,0.81,0.6,1.08,0.85,1.2,0.75,1.2,1.9,1.06,1.58,1.34,0.77
