,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.43,1.37,1.41,1.81,1.57,1.44,2.6,3.0,3.01,4.91,3.14,3.62,4.19,3.35,2.68,4.7
f_1,2.16,2.46,1.37,1.51,1.37,1.36,2.57,2.78,2.81,3.02,3.12,2.21,3.39,2.8,2.42,3.59
d_1,1.42,1.63,2.6,1.23,1.31,1.61,3.01,2.69,4.84,2.44,3.53,3.35,4.04,3.92,3.42,4.13
c_1,1.25,1.44,1.54,2.67,2.45,1.38,2.69,2.78,1.95,2.86,2.5,2.96,3.74,2.75,3.5,3.5
b_1,1.43,1.58,1.42,1.25,2.76,2.49,2.91,2.8,3.21,3.25,2.6,3.18,4.06,2.9,3.68,3.68
a_1,1.58,1.46,1.54,1.56,1.18,3.26,3.54,2.85,3.59,3.55,4.0,3.51,4.75,3.02,3.86,3.92
h_1,1.6,1.91,1.68,1.52,1.3,1.4,4.3,3.57,3.3,2.98,3.1,3.7,3.41,3.36,3.13,5.26
g_1,1.4,1.35,2.03,1.57,1.44,1.59,2.72,4.45,3.56,3.04,3.45,5.01,3.69,3.08,3.8,3.2
c_0,1.56,1.76,1.51,1.51,1.35,1.42,3.3,3.01,4.37,3.6,5.2,3.52,4.31,4.36,4.11,4.81
d_0,1.34,1.73,1.26,2.49,1.7,1.44,3.17,2.86,2.4,4.17,3.06,3.21,4.17,2.81,3.37,4.05
b_0,1.54,1.6,1.74,1.74,1.34,1.09,3.42,3.04,3.03,3.23,4.6,3.4,4.67,5.99,3.34,4.46
f_0,1.26,1.63,1.65,1.77,1.5,1.5,3.14,2.83,3.62,3.64,3.74,4.6,4.6,3.79,6.62,4.04
h_0,1.52,2.08,1.62,1.5,1.36,1.17,2.78,3.88,3.08,3.43,3.39,3.1,3.89,4.04,3.63,5.03
a_0,1.55,1.71,1.59,1.7,1.37,1.35,3.34,3.46,3.61,3.87,2.99,3.52,4.1,5.02,4.1,4.71
e_0,1.22,1.98,1.72,1.71,1.53,1.52,3.58,3.07,3.19,3.33,3.52,2.54,4.44,2.91,5.25,4.21
g_0,1.25,1.49,2.12,1.65,1.47,1.56,2.68,3.25,3.37,3.03,3.72,4.47,3.9,3.62,3.8,3.92
