,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.09,1.48,2.56,2.38,2.48,2.03,0.73,0.58,0.51,0.71,0.56,0.64,0.47,0.35,0.59,0.36
f_1,2.19,1.09,2.41,2.26,2.36,2.29,0.51,0.53,0.49,0.8,0.53,0.57,0.43,0.27,0.41,0.36
c_1,2.07,2.65,1.1,3.44,2.24,2.16,0.79,0.34,0.72,0.75,0.62,0.54,0.5,0.38,0.55,0.4
d_1,2.9,3.1,2.55,1.08,2.53,2.16,0.7,0.81,0.51,0.5,0.49,0.56,0.48,0.37,0.4,0.24
b_1,2.76,3.09,1.75,3.04,1.1,2.81,0.81,0.57,0.79,0.74,0.69,0.57,0.62,0.46,0.56,0.44
a_1,4.68,4.86,4.39,4.69,2.66,1.12,1.31,1.19,0.94,1.37,0.95,0.92,1.24,0.67,1.01,0.73
h_1,9.77,10.46,10.66,9.02,8.84,8.04,1.53,2.45,1.8,2.66,1.97,1.91,1.68,2.02,1.49,1.3
d_0,7.21,9.88,13.28,15.29,11.41,10.23,3.48,1.74,2.39,4.07,2.56,2.26,2.08,1.79,2.22,1.88
c_0,14.23,13.54,17.71,7.24,13.7,12.59,3.7,3.63,1.75,3.45,2.3,2.6,2.06,1.74,2.1,1.42
g_1,13.54,16.2,12.77,12.06,11.67,11.52,3.01,2.78,2.51,1.61,2.44,2.38,2.31,1.36,2.28,2.13
b_0,16.94,15.35,17.43,10.57,17.05,16.21,3.89,4.07,1.71,3.81,1.8,2.68,2.64,1.81,2.69,2.05
f_0,13.64,19.07,16.39,15.81,15.74,13.76,4.57,3.43,2.58,2.92,3.09,1.85,3.06,2.15,2.8,1.42
a_0,18.68,17.91,24.04,17.32,23.43,20.35,5.25,4.49,3.37,5.65,2.21,3.86,2.01,2.85,3.03,2.82
h_0,18.78,20.62,18.93,18.09,19.18,18.75,8.06,4.19,3.91,5.5,3.88,3.56,3.61,3.3,3.56,2.92
e_0,28.46,28.38,23.7,19.16,21.46,18.39,6.03,5.15,4.52,5.04,4.5,2.42,4.08,3.0,2.34,2.75
g_0,24.61,23.81,24.58,22.94,23.08,18.94,5.77,5.69,4.83,8.13,4.57,4.67,4.59,2.55,3.39,3.51
