,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.39,0.23,0.33,0.25,0.27,0.31,0.67,0.91,0.52,0.35,0.54,0.79,0.57,0.76,,0.75
f_1,0.43,2.42,0.25,0.27,0.26,0.3,0.47,0.65,0.7,0.42,0.53,,0.61,0.69,0.68,0.88
c_1,0.25,0.31,2.51,0.35,0.43,0.26,0.49,0.53,,0.47,0.49,0.67,0.6,0.79,0.78,0.74
d_1,0.28,0.26,0.22,2.53,0.28,0.3,0.68,,0.77,0.51,0.66,0.71,0.67,0.97,0.66,0.6
b_1,0.3,0.29,0.28,0.31,2.6,0.4,0.54,0.57,0.63,0.58,,0.5,0.57,0.86,0.46,0.85
a_1,0.26,0.26,0.32,0.18,0.18,3.3,0.68,0.71,0.52,0.55,0.61,0.49,,0.9,,1.1
h_1,0.4,0.7,0.51,0.49,0.57,0.55,3.84,1.28,1.36,1.58,1.13,1.07,1.1,,1.15,1.54
d_0,0.6,0.68,0.93,,0.68,0.66,1.1,3.49,1.56,1.03,1.32,1.31,1.12,1.63,1.39,1.46
c_0,0.72,0.56,,0.65,0.55,0.62,1.1,1.11,3.52,1.51,2.51,1.44,1.42,1.73,1.17,1.35
g_1,0.59,0.49,0.59,0.74,0.48,0.51,0.89,1.03,1.07,4.44,1.26,1.64,1.27,1.38,,
b_0,0.72,0.68,0.64,0.64,,0.61,1.22,1.11,1.24,1.32,3.93,1.2,2.53,1.58,,1.95
f_0,0.51,,0.61,0.52,0.66,0.62,1.22,1.46,1.33,1.06,1.64,4.07,1.71,2.19,2.21,1.36
a_0,0.65,0.64,0.68,0.58,0.53,,1.29,1.83,1.88,1.19,0.94,0.99,4.37,,,1.31
h_0,0.64,0.95,0.81,0.67,0.76,0.66,,1.68,1.68,1.98,1.72,1.46,,,2.11,3.16
e_0,,0.65,0.51,0.78,0.66,,1.59,1.65,1.71,,,1.01,,1.63,4.79,
g_0,0.69,0.75,0.68,1.12,0.76,0.57,1.48,1.39,1.92,,1.56,2.64,2.07,1.62,,
