,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.2,0.96,0.92,0.86,0.77,0.61,0.68,0.63,0.58,0.62,0.59,0.53,0.55,0.48,0.57
e_1,0.83,1.0,1.17,0.89,1.01,0.85,0.71,0.88,0.7,0.65,0.6,0.68,0.58,0.56,0.64,0.63
c_1,1.04,0.88,1.0,1.03,1.26,0.9,0.73,0.52,0.64,0.54,0.5,0.59,0.62,0.58,0.59,0.55
d_1,1.11,1.1,0.96,1.0,0.96,0.75,0.66,0.69,0.57,0.84,0.71,0.56,0.6,0.6,0.57,0.47
b_1,1.17,0.99,0.8,1.05,1.0,1.35,0.82,0.68,0.7,0.74,0.7,0.7,0.64,0.58,0.62,0.6
a_1,1.28,1.14,1.12,1.3,0.77,1.0,0.99,0.82,0.94,0.76,0.99,0.8,0.82,0.7,0.68,0.69
h_1,1.65,1.38,1.42,1.51,1.25,1.03,1.0,0.91,1.07,0.92,0.87,0.9,0.89,0.78,0.78,0.96
d_0,1.43,1.17,1.94,1.4,1.51,1.22,1.07,1.0,1.0,0.8,0.91,0.83,0.88,0.88,0.87,0.92
g_1,1.56,1.43,1.59,1.72,1.41,1.01,0.91,1.0,1.0,1.01,0.94,1.1,0.79,0.8,0.93,0.88
c_0,1.64,1.6,1.83,1.21,1.36,1.24,1.09,1.26,0.99,1.0,1.22,0.92,1.06,1.03,0.9,0.95
b_0,1.59,1.65,1.96,1.42,1.5,1.05,1.11,1.11,1.12,0.81,1.0,1.05,1.04,1.23,0.81,0.98
f_0,1.72,1.55,1.67,1.79,1.43,1.22,1.08,1.18,0.88,1.05,1.0,1.0,1.0,0.9,1.22,0.8
h_0,1.81,1.79,1.62,1.63,1.56,1.19,1.11,1.08,1.31,0.98,0.98,1.0,1.0,0.94,0.93,1.04
a_0,1.73,1.74,1.82,1.67,1.66,1.36,1.24,1.16,1.27,0.96,0.85,1.1,1.02,1.0,1.09,0.85
e_0,2.0,1.55,1.69,1.73,1.55,1.48,1.27,1.15,1.03,1.07,1.14,0.8,1.11,0.98,1.0,1.07
g_0,1.83,1.62,1.81,2.1,1.7,1.39,1.04,1.07,1.16,1.1,1.03,1.25,0.99,1.09,1.0,1.0
