,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,5.8,1.35,1.36,2.01,1.48,1.25,5.51,5.85,12.89,5.99,6.95,8.92,11.22,4.71,8.61,11.43
d_1,1.49,6.08,1.72,1.11,1.44,1.56,5.79,6.22,3.31,13.26,9.46,8.03,11.75,8.19,9.37,10.77
f_1,2.72,1.45,6.25,1.5,1.15,1.24,5.36,4.23,6.79,6.66,7.35,2.18,8.29,4.62,7.23,10.02
c_1,1.37,1.48,1.45,6.94,2.99,1.48,4.96,5.4,6.88,2.32,5.31,6.92,11.18,5.85,6.22,8.82
b_1,1.23,1.5,1.67,1.35,7.77,3.21,5.82,5.66,6.95,6.86,3.43,7.0,11.79,7.72,4.03,10.58
a_1,1.38,1.67,1.76,1.73,1.3,10.42,6.0,5.61,6.12,7.42,8.0,6.54,11.09,8.45,3.42,11.05
h_1,1.71,1.99,2.43,1.79,1.97,1.73,17.22,9.01,7.31,8.49,7.93,7.83,8.4,10.47,9.4,19.55
g_1,1.59,2.91,1.54,1.8,1.93,1.78,6.03,17.46,7.96,8.48,8.97,13.98,12.23,10.71,8.35,8.98
d_0,1.84,1.15,1.63,3.66,2.04,2.04,6.91,6.54,15.74,6.1,6.01,9.08,13.33,10.68,7.59,16.14
c_0,1.92,2.32,2.15,1.22,1.39,1.81,6.99,7.36,7.3,16.79,17.31,9.22,15.54,11.11,13.53,12.56
b_0,1.74,2.05,2.21,1.88,0.85,1.68,7.4,6.18,8.96,9.62,19.45,9.07,16.34,9.78,22.0,14.3
f_0,1.57,2.41,1.16,2.14,1.93,1.87,6.86,7.3,9.96,8.09,8.08,19.52,15.72,20.56,8.99,17.91
h_0,1.45,2.05,2.81,1.82,1.77,1.93,3.95,9.92,8.72,8.61,9.9,8.98,7.25,10.56,8.3,17.72
e_0,0.94,2.25,1.9,1.96,2.06,2.1,6.95,8.52,10.59,8.5,9.78,9.11,16.96,25.26,10.63,17.34
a_0,1.67,2.02,2.14,2.24,1.75,0.61,7.69,6.48,10.08,7.72,11.06,10.09,16.76,10.27,27.51,15.55
g_0,1.48,3.07,1.61,1.95,1.74,1.67,7.61,5.08,8.35,7.67,8.29,13.9,15.39,11.69,9.16,8.44
