,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.16,0.91,0.84,0.8,0.6,0.42,0.43,0.4,0.39,0.38,0.35,0.27,0.32,0.29,0.33
e_1,0.89,1.0,1.1,0.89,0.92,0.75,0.5,0.58,0.46,0.41,0.39,0.44,0.34,0.33,0.37,0.34
c_1,1.08,0.91,1.0,1.03,1.19,0.78,0.51,0.34,0.43,0.38,0.35,0.35,0.38,0.34,0.27,0.32
d_1,1.19,1.12,0.95,1.0,0.9,0.74,0.51,0.45,0.4,0.55,0.47,0.37,0.36,0.37,0.3,0.27
b_1,1.22,1.1,0.84,1.14,1.0,1.21,0.6,0.45,0.47,0.5,0.46,0.42,0.42,0.33,0.35,0.35
a_1,1.65,1.31,1.34,1.32,0.85,1.0,0.76,0.59,0.64,0.6,0.64,0.52,0.5,0.46,0.46,0.44
h_1,2.28,1.98,2.03,1.93,1.73,1.29,1.0,0.89,0.9,0.81,0.83,0.68,0.71,0.68,0.7,0.73
d_0,2.24,1.7,3.1,2.14,2.2,1.71,1.09,1.0,1.14,0.82,0.95,0.83,0.89,0.84,0.87,0.72
g_1,2.5,2.17,2.35,2.58,2.12,1.56,1.1,0.89,1.0,0.96,0.91,0.95,0.73,0.85,0.72,0.75
c_0,2.53,2.41,2.7,1.81,2.03,1.62,1.2,1.21,1.04,1.0,1.34,0.97,1.0,1.03,0.79,0.76
b_0,2.64,2.48,2.87,2.05,2.25,1.48,1.25,1.09,1.05,0.74,1.0,0.96,0.95,1.27,0.83,0.77
f_0,2.91,2.37,2.71,2.67,2.4,1.99,1.41,1.19,0.99,1.08,1.03,1.0,1.05,1.05,1.31,0.67
h_0,3.62,2.95,2.48,2.7,2.35,2.0,1.44,1.14,1.36,1.05,1.11,0.95,1.0,0.85,0.9,0.95
a_0,3.09,3.04,3.13,2.75,2.76,2.05,1.42,1.22,1.19,1.05,0.81,0.96,1.13,1.0,0.9,0.96
e_0,3.32,2.88,3.51,3.3,2.92,2.09,1.49,1.11,1.4,1.28,1.26,0.74,1.14,1.11,1.01,0.86
g_0,3.1,3.07,3.1,3.64,2.9,2.16,1.36,1.36,1.31,1.34,1.33,1.44,1.06,1.02,1.15,1.0
