,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,8834.45,251.05,184.03,304.92,618.64,1759.83,183400.89,416827.3,894343.18,685822.81,775921.84,,6291191.4,3694061.76,10330680.0,6380985.3
e_1,130.68,9369.01,155.16,267.37,484.57,1384.83,155348.93,421724.6,738653.73,1444021.66,1177557.22,1333715.77,5910456.13,4775647.53,10452055.14,
d_1,112.73,116.36,14389.63,194.22,637.99,2694.52,164568.27,459516.62,1408481.78,,916486.93,1640748.17,7265765.17,3167413.44,13864498.9,9546812.27
c_1,123.0,123.53,184.47,22243.16,1128.2,1999.22,174431.91,537196.82,,758059.28,733325.32,1585639.87,6306170.43,5924571.43,12426332.22,7675413.74
b_1,136.59,170.36,248.57,283.25,65454.06,3357.05,127349.12,444489.09,490471.31,664132.03,,1206189.1,6708691.94,4902127.66,12740534.89,8165333.77
a_1,93.85,134.6,215.73,264.11,695.95,321104.33,192492.3,,561638.78,684447.93,909573.17,1221278.06,7682124.23,,14742758.98,
h_1,669.56,423.41,612.05,769.05,2961.81,6401.67,8080301.89,2664322.92,2469873.4,3236495.98,3628992.6,4269347.71,,17021198.16,70584355.55,31833513.22
g_1,527.9,367.77,933.24,1025.46,1565.96,,741092.78,28202832.83,2455258.77,2389549.03,3883093.66,6912015.73,18470735.87,16104142.01,,38320297.91
c_0,628.42,582.94,818.59,,2796.18,11986.61,1195237.26,2520438.07,23229749.22,1947881.86,9707135.83,7199572.63,31482268.39,17972265.02,70801872.82,45236452.34
d_0,614.6,768.51,,2539.68,3389.16,12023.66,924176.72,1569245.72,3420412.01,22795536.57,4381714.09,7470856.42,26316321.72,15624111.28,89433517.99,45376286.82
b_0,546.52,597.5,973.31,1204.17,,8687.11,1136926.9,2645491.86,2432639.13,4235093.23,34999617.51,5667589.4,26619010.85,46890452.26,82670267.91,43391158.1
f_0,,414.22,1060.34,1358.69,3587.49,10815.86,796234.13,2058600.94,4038333.15,3844815.47,4981697.38,54981231.63,26927808.03,34055474.45,49689554.43,103996253.74
h_0,1172.79,938.83,1169.15,2049.15,3904.91,13043.78,,4104637.64,5357190.2,4781049.1,8133713.93,12103021.24,,34681690.14,175779714.86,72970482.78
a_0,815.69,540.46,1037.62,1091.17,2457.43,,969636.23,2397240.79,2420475.93,4038337.85,4199954.1,7653269.84,24121101.89,260496000.0,59565353.38,64761303.47
g_0,715.51,821.76,1990.29,1726.65,2653.1,22746.52,897811.32,,6875203.15,5749985.25,7982368.91,16017923.94,48126037.47,36378947.37,,
e_0,687.71,,778.98,1204.67,4213.06,,758268.8,2315775.13,3650487.37,4119176.7,5234546.9,6142460.74,38280858.61,34205278.59,,572279749.11
