,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.45,2.39,1.46,1.73,1.47,1.51,3.03,3.09,3.83,3.18,3.49,3.08,3.81,3.39,2.62,4.38
e_1,1.59,2.47,1.41,2.18,1.71,1.52,3.29,3.23,5.1,3.12,3.87,3.98,4.6,4.03,3.55,4.58
d_1,1.88,1.64,2.58,1.31,1.52,1.76,3.04,3.08,3.17,5.55,4.3,3.87,4.72,3.82,4.15,4.56
c_1,1.5,1.38,1.76,2.59,2.76,1.72,3.33,3.2,3.05,2.74,2.61,3.46,4.28,3.48,3.68,4.61
b_1,1.85,1.45,1.85,1.36,2.77,2.74,3.27,3.4,2.98,3.86,2.96,3.48,5.15,3.82,3.97,4.82
a_1,1.87,1.74,1.75,1.79,1.52,3.36,3.37,3.58,3.73,3.75,3.91,3.23,4.89,3.55,3.41,4.9
h_1,2.17,1.81,1.8,1.62,1.61,1.49,4.33,3.73,3.65,3.0,3.59,3.44,4.29,3.73,4.1,5.8
g_1,1.59,1.43,2.34,1.68,1.79,1.73,2.89,4.66,3.19,3.72,3.7,5.17,4.57,3.9,5.07,4.23
d_0,1.62,1.56,1.39,2.61,2.04,1.63,3.36,3.66,4.42,2.88,3.29,3.72,4.75,3.74,4.41,4.48
c_0,1.91,1.77,1.64,1.63,1.46,1.71,3.66,3.55,3.97,4.75,6.09,3.71,5.46,4.97,4.7,5.03
b_0,1.74,1.65,1.75,1.89,1.66,1.49,3.81,3.5,3.92,3.22,5.04,3.96,5.37,6.34,4.47,5.11
f_0,1.55,1.46,1.91,1.61,1.8,2.02,3.75,3.08,3.79,4.15,3.81,5.21,5.45,4.32,7.7,4.88
h_0,1.95,1.65,1.89,1.88,1.6,1.66,3.24,4.09,3.6,3.19,3.45,3.8,4.06,4.08,4.34,5.76
a_0,1.73,1.6,2.0,1.67,1.79,1.62,3.61,3.79,3.68,3.5,3.42,4.1,4.89,5.39,4.49,4.67
e_0,2.0,1.47,1.84,1.8,1.64,1.9,3.5,2.97,3.55,3.03,3.75,3.24,5.0,4.08,5.65,4.79
g_0,1.67,1.67,2.24,1.62,1.51,1.6,3.2,3.71,3.39,3.9,3.6,5.04,4.29,3.58,4.73,3.97
