,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,5.68,2.96,3.56,2.32,2.96,2.92,10.81,20.29,11.15,14.11,10.36,13.3,19.25,14.22,12.03,21.5
f_1,4.31,5.7,2.89,2.73,2.65,2.31,8.93,12.99,11.33,12.46,9.04,8.91,18.43,14.87,11.87,17.95
c_1,2.39,2.74,6.55,2.9,5.02,3.07,11.1,12.21,7.48,8.71,9.45,11.54,19.38,11.68,14.18,19.29
d_1,2.87,2.91,2.05,7.1,2.64,2.97,11.24,9.07,24.28,17.68,11.82,15.57,21.69,15.05,15.03,22.34
b_1,2.52,2.92,2.87,2.75,7.84,5.75,10.82,13.02,12.5,10.3,9.76,12.42,19.32,11.86,15.18,16.36
a_1,2.66,3.18,3.03,2.78,2.62,11.14,11.46,11.8,16.19,14.0,11.69,13.3,26.39,12.07,15.44,23.31
h_1,2.86,3.85,2.93,3.32,2.81,2.72,18.71,11.32,14.95,14.98,15.34,15.87,16.39,15.27,16.07,27.16
d_0,2.78,2.73,5.27,2.41,3.51,2.74,11.57,19.4,9.45,12.73,11.45,13.98,19.58,14.55,15.76,23.83
c_0,3.16,3.16,2.38,3.37,2.28,3.13,10.62,14.15,22.15,26.41,14.67,16.8,24.9,19.92,15.86,23.58
b_0,3.18,3.26,3.3,3.04,2.26,2.1,12.24,14.59,16.68,25.36,14.79,15.01,22.67,32.75,17.64,25.33
g_1,2.65,2.87,3.01,4.35,2.87,2.63,12.5,11.05,15.45,14.79,29.57,22.72,20.99,16.94,16.88,21.0
f_0,2.35,2.67,3.21,3.63,2.96,3.32,13.01,13.68,15.59,15.73,16.81,28.82,25.02,15.75,33.61,24.36
h_0,2.87,3.74,3.06,3.6,2.77,2.67,10.0,11.97,13.45,15.0,16.07,14.62,19.03,15.86,15.61,30.41
a_0,3.17,3.18,3.42,3.35,2.61,1.91,12.95,14.64,14.07,14.37,13.85,15.89,20.88,29.47,18.84,24.78
e_0,2.3,3.37,2.85,3.96,3.3,3.19,11.24,11.75,16.18,15.71,15.18,15.66,26.74,16.78,31.16,23.96
g_0,2.47,2.71,3.06,4.58,3.01,2.83,11.4,11.91,16.45,14.27,11.98,24.36,22.34,15.87,17.2,19.21
