,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.3,0.17,0.26,0.25,0.19,0.17,0.42,0.36,0.46,0.92,0.53,0.44,0.53,0.32,0.09,0.35
d_1,0.24,2.32,0.21,0.17,0.19,0.18,0.41,0.35,0.98,0.09,0.51,0.47,0.58,0.36,0.46,0.52
f_1,0.41,0.25,2.32,0.18,0.18,0.13,0.46,0.38,0.43,0.49,0.06,0.43,0.51,0.46,0.26,0.5
c_1,0.17,0.2,0.23,2.44,0.42,0.16,0.4,0.3,0.08,0.51,0.46,0.21,0.62,0.37,0.37,0.6
b_1,0.23,0.17,0.21,0.21,2.49,0.39,0.45,0.36,0.34,0.46,0.45,0.07,0.72,0.34,0.39,0.49
a_1,0.21,0.23,0.21,0.28,0.22,2.94,0.33,0.44,0.42,0.44,0.37,0.53,0.49,0.06,0.47,0.59
h_1,0.34,0.45,0.55,0.42,0.32,0.22,2.71,0.77,0.75,0.67,0.73,0.94,0.28,0.6,0.59,1.22
g_1,0.36,0.72,0.34,0.21,0.35,0.26,0.72,3.05,0.83,0.66,1.17,0.84,0.7,0.53,0.65,0.38
c_0,0.38,0.48,0.48,0.17,0.32,0.32,0.86,0.77,2.4,0.64,0.82,1.6,0.79,0.89,0.72,1.03
d_0,0.47,0.08,0.4,0.84,0.38,0.19,0.8,0.47,0.46,2.3,0.73,0.77,0.94,0.57,0.56,0.73
f_0,0.34,0.52,0.17,0.37,0.41,0.26,0.83,0.74,1.0,0.76,2.6,0.96,1.16,0.63,1.65,1.08
b_0,0.33,0.65,0.49,0.42,0.1,0.2,0.77,0.65,0.86,0.66,0.83,2.61,1.29,1.51,0.61,0.81
h_0,0.33,0.39,0.57,0.4,0.32,0.31,0.31,1.07,0.85,0.89,0.71,0.72,0.43,0.82,0.59,1.41
a_0,0.41,0.5,0.51,0.4,0.3,,0.87,0.61,0.78,0.77,0.88,0.75,1.37,2.85,0.72,1.24
e_0,0.13,0.56,0.55,0.4,0.28,0.39,0.88,0.71,0.78,0.83,0.73,0.85,1.19,0.54,2.87,0.96
g_0,0.33,0.72,0.31,0.46,0.3,0.28,0.72,0.25,0.7,0.59,1.02,0.92,0.95,0.71,0.75,0.39
