,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,24.07,0.62,0.34,0.33,0.29,0.37,0.77,0.58,0.57,0.69,0.7,0.11,0.95,0.82,0.51,0.8
e_1,0.37,24.81,0.32,0.34,0.26,0.36,0.83,0.75,1.6,0.86,0.88,0.82,0.77,0.79,0.26,0.74
d_1,0.33,0.33,26.14,0.28,0.34,0.31,0.83,0.64,0.23,1.6,0.81,0.98,0.92,0.7,0.98,0.94
c_1,0.25,0.36,0.36,28.96,0.83,0.33,0.53,0.61,0.72,0.14,0.76,0.78,0.74,0.75,0.73,1.0
b_1,0.31,0.29,0.31,0.34,33.23,0.69,0.63,0.61,0.92,0.86,0.25,1.02,0.93,0.61,0.91,0.65
a_1,0.42,0.35,0.33,0.3,0.32,46.25,0.76,1.03,0.57,0.73,0.69,0.48,0.79,0.26,0.83,0.68
h_1,1.08,0.41,0.63,0.71,0.59,0.53,9.02,1.89,1.57,1.46,1.59,1.63,0.6,1.23,1.71,2.14
g_1,0.52,0.47,0.97,0.77,0.51,0.42,1.27,12.58,1.4,1.35,1.86,2.81,1.15,1.57,1.42,0.6
d_0,0.77,0.64,0.2,1.98,0.57,0.54,1.24,1.1,5.3,0.79,1.21,1.31,1.71,1.33,1.67,1.22
c_0,0.75,0.7,0.76,0.31,0.56,0.49,1.59,1.08,1.78,4.51,3.44,1.55,2.41,1.45,2.32,2.17
b_0,0.76,0.56,0.69,0.68,0.31,0.41,1.52,1.73,1.59,1.43,6.57,1.98,2.19,3.28,1.6,1.89
f_0,0.27,0.54,0.83,0.76,0.69,0.89,1.45,1.8,1.78,1.41,1.22,6.97,1.48,2.19,3.74,1.96
h_0,1.08,0.51,0.63,0.65,0.55,0.56,0.55,1.38,1.31,1.37,1.63,1.41,0.79,1.84,1.47,2.65
a_0,0.57,0.6,0.69,0.78,0.69,0.22,1.55,1.84,1.77,2.04,1.69,1.97,1.63,9.11,1.86,1.71
e_0,0.58,0.21,0.8,0.97,0.57,0.77,1.35,1.42,1.35,1.69,1.93,1.99,2.74,1.81,7.77,1.97
g_0,0.53,0.53,1.37,0.57,0.57,0.66,1.06,0.47,1.16,1.55,1.4,2.03,1.49,1.86,1.33,0.62
