,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.99,1.05,0.88,1.33,0.89,1.0,1.03,0.71,0.74,1.03,0.78,1.08,1.03,0.91,0.96
f_1,1.02,1.0,0.98,1.29,0.93,0.82,0.88,1.04,1.03,0.94,0.87,0.95,0.82,0.71,0.97,1.02
d_1,0.96,1.03,1.0,1.03,0.98,0.99,1.01,0.81,0.99,1.29,0.94,1.15,1.0,1.01,0.93,0.83
e_1,1.15,0.77,0.97,1.0,1.04,1.0,1.03,1.13,1.37,0.97,1.14,0.97,1.06,1.17,1.04,1.17
b_1,0.75,1.09,1.03,0.95,1.0,1.5,1.13,1.0,0.97,1.11,0.98,1.03,1.09,0.95,0.96,1.01
a_1,1.12,1.2,0.99,0.98,0.67,1.0,1.0,1.23,1.05,1.11,1.03,1.2,1.07,1.22,1.17,1.14
h_1,0.99,1.14,0.99,1.01,0.91,0.98,1.0,1.05,0.95,0.93,0.96,0.97,0.95,0.85,0.91,1.17
g_1,0.97,0.96,1.21,0.87,0.99,0.84,0.93,1.0,0.96,0.93,1.28,0.95,0.83,1.05,0.94,1.06
d_0,1.36,0.98,1.04,0.72,1.08,0.95,1.03,1.0,1.0,0.75,1.12,0.89,0.97,1.03,1.08,1.07
c_0,1.41,1.06,0.78,1.0,0.86,0.9,1.07,1.07,1.25,1.0,1.02,1.43,1.1,1.13,1.17,1.04
f_0,1.02,1.14,1.06,0.89,1.01,0.94,1.07,0.81,0.95,1.0,1.0,1.12,1.01,1.44,1.17,0.86
b_0,1.27,1.09,0.87,0.99,0.95,0.83,1.04,1.01,1.07,0.71,0.87,1.0,1.09,1.09,1.44,0.99
h_0,0.95,1.19,0.98,0.95,0.92,0.89,1.05,1.23,1.01,0.94,1.01,0.92,1.0,0.94,1.08,1.11
e_0,1.0,1.42,0.97,0.94,1.0,0.9,1.08,0.91,0.95,0.86,0.74,0.9,1.12,1.0,1.04,0.95
a_0,1.03,1.0,1.08,0.96,1.05,0.89,1.02,1.09,0.94,0.85,0.82,0.72,0.94,0.93,1.0,1.0
g_0,1.04,0.96,1.17,0.85,0.98,0.87,0.86,0.93,0.94,1.0,1.18,1.0,0.89,1.04,1.03,1.0
