,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.23,0.25,0.21,0.22,0.2,0.15,0.4,0.37,0.44,0.98,0.47,0.47,0.39,0.49,0.12,0.42
f_1,0.38,2.24,0.25,0.21,0.2,0.16,0.41,0.33,0.43,0.4,0.44,0.06,0.4,0.51,0.25,0.4
d_1,0.21,0.28,2.28,0.14,0.21,0.17,0.49,0.44,0.87,0.09,0.5,0.48,0.38,0.54,0.34,0.52
c_1,0.25,0.19,0.23,2.49,0.37,0.15,0.39,0.36,0.05,0.54,0.47,0.44,0.3,0.52,0.36,0.58
b_1,0.24,0.22,0.27,0.18,2.6,0.35,0.39,0.39,0.43,0.39,0.08,0.44,0.24,0.65,0.34,0.48
a_1,0.23,0.25,0.19,0.25,0.18,3.1,0.46,0.36,0.56,0.42,0.44,0.46,0.12,0.57,0.28,0.55
h_1,0.36,0.59,0.42,0.37,0.26,0.27,2.71,0.83,0.81,0.68,0.77,0.79,0.77,0.31,0.64,0.78
g_1,0.38,0.37,0.58,0.41,0.27,0.23,0.63,2.91,0.86,0.73,0.63,1.11,0.55,0.91,0.79,0.36
c_0,0.42,0.41,0.46,0.2,0.35,0.2,0.85,0.81,2.36,0.79,1.4,1.02,0.69,1.02,0.78,1.06
d_0,0.42,0.36,0.12,0.9,0.35,0.24,0.7,0.77,0.6,2.3,0.81,0.88,0.61,1.16,0.68,0.9
b_0,0.4,0.47,0.4,0.44,0.12,0.21,0.95,0.77,0.74,0.74,2.42,0.81,1.89,1.23,0.89,1.17
f_0,0.37,0.12,0.49,0.44,0.34,0.31,0.86,0.7,1.0,0.87,1.22,2.49,0.95,1.24,1.57,1.05
a_0,0.43,0.49,0.52,0.39,0.25,0.09,0.83,0.77,0.91,0.59,0.87,0.96,2.69,1.19,0.74,0.84
h_0,0.33,0.61,0.46,0.35,0.35,0.23,0.32,0.88,0.85,0.88,0.72,0.55,0.83,0.39,0.77,1.14
e_0,0.2,0.65,0.39,0.35,0.38,0.36,0.91,0.63,0.78,0.81,0.78,0.54,0.76,1.25,3.06,1.08
g_0,0.31,0.41,0.57,0.38,0.36,0.2,0.82,0.38,1.01,0.62,0.98,1.05,0.85,1.05,0.67,
