,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.95,0.43,0.66,0.45,0.37,0.29,0.28,0.21,0.29,0.28,0.23,0.16,0.25,0.18,0.2,0.14
d_1,0.51,0.95,0.45,0.35,0.41,0.31,0.34,0.26,0.44,0.21,0.29,0.28,0.25,0.22,0.25,0.2
e_1,0.48,0.45,0.95,0.49,0.39,0.3,0.32,0.3,0.29,0.44,0.26,0.28,0.29,0.19,0.24,0.13
c_1,0.48,0.5,0.43,0.94,0.66,0.34,0.31,0.25,0.18,0.23,0.18,0.24,0.23,0.17,0.23,0.2
b_1,0.51,0.49,0.45,0.41,0.94,0.59,0.35,0.28,0.26,0.28,0.17,0.24,0.26,0.17,0.24,0.22
a_1,0.64,0.61,0.58,0.44,0.35,0.93,0.38,0.34,0.3,0.3,0.37,0.25,0.31,0.18,0.26,0.17
h_1,0.97,0.73,0.7,0.65,0.58,0.48,0.77,0.48,0.46,0.38,0.4,0.38,0.31,0.29,0.41,0.28
g_1,0.83,1.03,0.68,0.67,0.67,0.47,0.51,0.75,0.47,0.36,0.42,0.53,0.44,0.33,0.3,0.34
c_0,0.88,0.78,0.74,0.68,0.57,0.57,0.55,0.51,0.67,0.47,0.76,0.45,0.46,0.35,0.37,0.36
d_0,0.82,0.52,0.64,1.3,0.71,0.56,0.55,0.57,0.38,0.65,0.46,0.44,0.42,0.31,0.41,0.34
b_0,0.92,0.94,0.74,0.95,0.46,0.42,0.58,0.5,0.43,0.51,0.67,0.45,0.51,0.68,0.45,0.37
f_0,0.74,0.91,0.74,0.81,0.69,0.64,0.6,0.49,0.49,0.51,0.46,0.67,0.5,0.36,0.41,0.64
h_0,1.05,0.91,0.85,0.85,0.73,0.59,0.49,0.6,0.55,0.54,0.51,0.43,0.38,0.35,0.56,0.34
a_0,0.99,0.89,0.88,0.94,0.76,0.41,0.65,0.54,0.54,0.61,0.39,0.54,0.62,0.64,0.49,0.47
g_0,0.92,1.13,0.79,0.87,0.77,0.58,0.61,0.48,0.61,0.54,0.45,0.66,0.46,0.4,0.38,0.43
e_0,1.03,1.06,0.76,0.88,0.77,0.7,0.7,0.53,0.53,0.49,0.53,0.42,0.53,0.39,0.44,0.64
