,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,0.97,1.49,2.06,2.01,1.71,0.55,0.37,0.5,0.38,0.35,0.42,0.24,0.36,0.24,1.9
f_1,1.84,0.17,1.5,1.64,1.77,1.34,0.33,0.31,0.49,0.28,0.35,1.01,0.18,0.36,0.31,0.3
d_1,1.66,1.52,0.16,1.92,1.67,2.05,0.49,1.68,0.29,0.37,0.34,0.38,0.23,0.31,0.15,0.31
c_1,1.46,1.88,2.09,0.15,1.67,1.35,0.54,0.17,0.51,1.25,0.38,0.29,0.25,0.35,0.26,0.21
b_1,1.78,1.84,1.8,0.77,0.13,1.84,0.64,0.39,0.49,0.61,1.66,0.4,0.25,0.39,0.25,0.45
a_1,1.67,2.43,2.27,2.27,0.77,0.1,0.39,0.34,0.96,0.35,0.32,0.34,0.3,1.28,0.27,0.27
h_1,0.89,0.97,0.95,0.91,1.03,0.95,0.06,0.18,0.29,0.15,0.18,0.17,0.35,0.21,0.16,0.26
d_0,0.56,0.97,3.41,0.79,0.93,0.95,0.3,0.08,0.29,0.24,0.2,0.19,0.15,0.21,0.16,0.22
g_1,1.15,0.99,0.65,1.17,1.09,1.16,0.21,0.25,0.05,0.2,0.2,0.17,0.1,0.18,0.35,0.22
c_0,0.96,0.96,0.49,2.26,1.02,1.05,0.27,0.26,0.27,0.07,0.21,0.21,0.15,0.18,0.19,0.21
b_0,0.84,0.82,0.95,0.93,2.61,1.2,0.24,0.21,0.25,0.1,0.06,0.17,0.11,0.13,0.13,0.17
f_0,0.79,2.82,0.89,1.07,0.89,0.86,0.27,0.18,0.19,0.14,0.19,0.06,0.12,0.16,0.08,0.14
h_0,0.85,0.77,0.96,0.87,1.19,1.01,0.71,0.18,0.25,0.17,0.18,0.17,0.32,0.13,0.14,0.2
a_0,0.98,1.06,0.74,0.84,0.88,,0.29,0.17,0.27,0.17,0.1,0.15,0.14,0.04,0.15,0.18
g_0,0.76,1.03,0.92,0.97,1.32,0.86,0.18,0.19,0.61,0.14,0.18,0.16,0.12,0.17,0.25,0.18
e_0,2.62,1.49,1.05,0.96,0.64,0.86,0.18,0.19,0.26,0.16,0.16,0.09,0.14,0.17,0.1,0.04
