,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,15.65,0.57,0.46,0.63,0.55,0.53,0.96,0.96,2.16,0.8,0.98,0.95,1.08,1.1,0.53,0.68
f_1,1.17,16.8,0.51,0.51,0.48,0.39,0.77,0.72,0.77,0.67,0.32,0.82,0.83,0.63,0.66,0.93
d_1,0.53,0.5,20.38,0.38,0.51,0.62,0.76,1.04,0.39,2.26,1.12,1.15,1.1,0.86,1.06,0.98
c_1,0.42,0.59,0.51,20.67,1.1,0.42,0.76,0.68,0.81,0.26,0.89,0.64,1.05,0.97,1.06,0.97
b_1,0.46,0.56,0.44,0.57,21.74,1.18,0.99,0.95,0.85,1.02,0.97,0.39,0.87,0.81,0.83,0.95
a_1,0.41,0.62,0.55,0.68,0.51,35.89,1.0,0.6,0.76,0.88,0.83,1.02,0.79,0.38,0.74,1.03
h_1,0.6,0.93,0.76,0.68,0.58,0.61,5.5,1.75,0.96,1.04,1.25,1.07,0.56,1.05,1.39,1.64
g_1,0.55,0.56,1.4,0.54,0.53,0.67,1.1,6.69,0.87,1.05,2.41,1.23,1.13,1.36,1.67,0.56
d_0,0.52,0.6,0.4,1.79,0.72,0.71,1.15,0.96,2.79,0.89,1.23,1.22,1.12,1.26,1.23,1.27
c_0,0.74,0.67,0.78,0.31,0.54,0.68,1.12,1.07,1.14,3.57,1.57,3.28,1.25,1.37,1.24,1.63
f_0,0.5,0.32,0.91,0.9,0.66,0.75,1.39,1.22,1.1,1.25,4.01,1.64,1.3,1.56,3.09,1.59
b_0,0.76,0.64,0.93,0.75,0.35,0.51,0.98,1.11,1.08,0.86,1.4,4.27,1.63,3.24,1.55,1.6
h_0,0.59,1.14,0.73,0.79,0.61,0.57,0.53,1.51,1.24,0.93,1.1,1.08,0.71,1.16,1.24,1.73
a_0,0.56,0.69,0.94,0.72,0.6,0.45,1.33,1.13,1.14,0.99,1.22,1.16,1.69,4.65,1.59,1.25
e_0,0.32,0.88,0.77,0.75,0.72,0.64,1.37,1.01,1.11,1.47,1.25,1.45,1.29,1.55,4.92,1.47
g_0,0.56,0.52,1.66,0.85,0.58,0.55,1.16,0.65,0.88,1.18,1.44,1.28,1.15,1.27,1.11,0.67
