,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.78,1.23,0.74,0.79,0.71,0.7,0.97,0.89,1.01,0.79,0.87,0.69,0.92,0.92,0.72,0.89
e_1,0.85,1.8,0.77,1.02,0.69,0.69,0.99,1.0,1.59,0.89,1.04,1.0,1.0,1.01,0.79,0.95
d_1,0.84,0.79,1.91,0.64,0.75,0.79,1.03,0.96,0.61,1.64,1.15,1.01,1.04,1.04,1.13,1.06
c_1,0.76,0.7,0.82,2.02,1.42,0.86,0.84,0.85,0.86,0.73,0.76,0.93,0.94,0.82,0.94,0.84
b_1,0.82,0.72,0.81,0.86,2.21,1.41,0.91,0.82,0.86,0.92,0.78,0.96,1.0,0.77,1.03,0.93
a_1,0.89,0.84,0.91,0.8,0.75,2.78,1.02,1.1,0.95,0.95,0.96,1.01,1.0,0.8,0.93,1.1
h_1,1.22,0.86,0.91,0.87,0.78,0.68,1.67,1.23,0.94,0.91,1.11,1.06,0.89,1.02,1.19,1.34
g_1,0.75,0.85,1.25,0.85,0.8,0.74,0.99,2.02,0.95,1.02,1.12,1.61,0.9,1.16,1.15,1.02
d_0,0.84,0.86,0.71,1.46,0.95,0.74,0.91,0.98,1.46,0.63,0.85,1.0,1.01,0.96,1.06,0.93
c_0,0.92,0.88,0.95,0.82,0.68,0.72,1.14,1.15,1.03,1.33,1.85,1.2,1.21,1.36,1.26,1.22
b_0,0.99,0.91,0.93,0.84,0.71,0.75,1.09,1.17,1.0,1.01,1.67,1.15,1.1,2.1,1.12,1.05
f_0,0.8,0.71,0.98,0.86,0.91,0.97,1.02,1.02,1.01,1.2,1.06,1.75,1.21,1.14,2.12,1.26
h_0,1.05,0.83,1.02,0.84,0.78,0.81,0.87,1.21,0.88,1.0,1.06,1.04,0.88,1.24,0.91,1.43
a_0,0.87,0.81,0.92,0.92,1.04,0.57,1.2,1.23,1.01,1.09,1.14,1.32,1.13,2.01,1.33,1.02
e_0,0.85,0.63,0.96,0.99,0.91,0.82,1.09,1.1,0.98,1.15,1.24,1.16,1.3,1.14,1.88,1.31
g_0,0.84,0.76,1.29,0.79,0.83,0.79,1.0,0.84,0.82,1.07,1.03,1.42,1.15,1.14,1.2,0.84
