,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.94,1.14,1.02,0.96,1.02,1.32,1.12,0.94,1.02,1.09,1.05,1.06,1.16,1.13
f_1,1.17,1.0,0.91,1.06,0.96,0.96,0.76,0.98,1.03,0.88,0.91,0.9,0.87,0.88,0.78,1.07
d_1,1.06,1.1,1.0,0.89,1.0,0.93,0.99,0.98,0.88,1.3,1.05,0.97,1.07,1.02,1.06,0.84
c_1,0.87,0.95,1.14,1.0,1.24,0.94,1.09,0.71,1.03,0.96,0.84,1.0,1.09,0.99,1.0,0.91
b_1,0.99,1.04,0.99,0.81,1.0,1.36,1.12,1.01,0.9,1.11,1.09,0.96,0.95,0.95,1.01,1.07
a_1,1.01,1.04,1.07,1.04,0.75,1.0,1.17,1.13,1.1,1.02,1.24,1.12,1.08,0.99,1.03,1.1
h_1,0.97,1.28,0.99,0.96,0.9,0.89,1.0,0.95,1.08,0.85,1.0,0.85,1.06,0.97,0.83,1.03
d_0,0.78,1.02,1.0,1.39,1.01,0.93,1.07,1.0,1.03,0.83,0.97,1.04,1.03,0.94,0.95,1.12
g_1,0.91,0.92,1.17,0.99,1.11,0.91,0.93,0.96,1.0,0.94,0.93,1.25,0.87,0.99,1.01,1.05
c_0,1.08,1.13,0.81,1.07,0.87,0.95,1.14,1.12,1.02,1.0,1.41,1.09,0.96,1.1,1.17,1.0
b_0,0.97,1.11,0.93,1.15,0.91,0.84,1.02,1.02,1.11,0.72,1.0,0.92,1.01,1.44,1.0,0.92
f_0,0.93,1.12,1.06,0.96,0.97,0.9,1.18,0.99,0.83,0.91,1.05,1.0,0.96,1.13,1.48,0.85
h_0,0.97,1.12,1.0,0.93,1.02,0.9,0.99,0.94,1.16,1.0,0.98,1.04,1.0,0.92,0.92,1.12
a_0,0.96,1.09,0.98,1.0,1.01,0.99,1.08,1.06,1.13,0.92,0.73,0.96,1.04,1.0,1.01,1.1
e_0,0.91,1.3,0.93,1.02,0.99,0.94,1.2,1.04,0.91,0.89,1.02,0.73,1.13,0.98,1.0,0.98
g_0,0.89,0.9,1.21,1.07,0.95,0.93,0.95,0.87,0.97,0.94,1.1,1.21,0.89,0.94,1.01,1.0
