,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.42,0.96,0.98,1.02,0.9,0.75,0.24,0.18,0.18,0.27,0.2,0.16,0.18,0.12,0.16,0.1
f_1,0.85,0.42,0.92,0.96,0.89,0.77,0.21,0.31,0.18,0.22,0.17,0.24,0.17,0.1,0.17,0.15
e_1,1.05,0.63,0.41,1.05,0.95,0.96,0.31,0.26,0.22,0.23,0.22,0.24,0.21,0.13,0.27,0.16
c_1,1.34,1.0,0.76,0.4,0.87,0.91,0.3,0.28,0.25,0.12,0.19,0.19,0.17,0.15,0.2,0.14
b_1,1.2,1.06,0.99,0.6,0.38,1.03,0.31,0.32,0.27,0.21,0.31,0.23,0.21,0.16,0.23,0.17
a_1,1.28,1.37,1.35,1.29,0.72,0.31,0.43,0.41,0.28,0.34,0.35,0.29,0.43,0.2,0.26,0.2
h_1,1.54,1.92,1.68,1.7,1.66,1.71,0.28,0.49,0.31,0.38,0.32,0.31,0.33,0.3,0.28,0.24
g_1,1.76,2.01,1.96,2.19,1.74,1.52,0.46,0.27,0.38,0.46,0.39,0.36,0.38,0.22,0.34,0.37
c_0,1.24,2.26,1.84,2.69,2.35,1.9,0.59,0.5,0.3,0.61,0.44,0.38,0.41,0.27,0.39,0.28
d_0,3.07,2.06,1.2,2.08,2.02,1.99,0.68,0.65,0.46,0.29,0.39,0.45,0.41,0.29,0.43,0.31
b_0,1.65,2.41,1.83,2.5,3.05,1.78,0.63,0.57,0.27,0.47,0.29,0.41,0.48,0.34,0.37,0.3
f_0,2.01,3.12,2.01,2.05,2.08,1.9,0.6,0.42,0.42,0.46,0.41,0.29,0.37,0.33,0.38,0.21
a_0,2.47,2.48,2.3,2.7,3.02,2.73,0.74,0.73,0.43,0.51,0.3,0.44,0.27,0.32,0.36,0.31
h_0,2.57,2.42,2.48,2.24,2.26,1.95,0.9,0.76,0.54,0.52,0.48,0.5,0.46,0.44,0.47,0.38
e_0,2.17,4.01,2.93,2.53,2.52,2.02,0.62,0.63,0.47,0.55,0.44,0.28,0.42,0.34,0.27,0.29
g_0,2.48,3.04,2.47,2.44,2.52,2.76,0.62,1.03,0.53,0.52,0.49,0.46,0.52,0.32,0.47,0.38
