,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.66,0.86,1.02,0.68,0.81,0.77,0.98,1.49,0.81,1.03,0.91,0.98,0.94,0.97,0.81,1.03
f_1,1.26,1.66,0.83,0.8,0.72,0.61,0.81,0.95,0.82,0.91,0.79,0.66,0.9,1.02,0.8,0.86
c_1,0.7,0.8,1.87,0.85,1.37,0.81,1.0,0.9,0.54,0.63,0.83,0.85,0.95,0.8,0.96,0.92
d_1,0.84,0.85,0.59,2.08,0.72,0.78,1.01,0.67,1.76,1.29,1.04,1.15,1.06,1.03,1.01,1.07
b_1,0.74,0.85,0.82,0.81,2.14,1.51,0.98,0.96,0.91,0.75,0.85,0.92,0.94,0.81,1.02,0.78
a_1,0.78,0.93,0.87,0.82,0.71,2.94,1.03,0.87,1.17,1.02,1.02,0.98,1.29,0.82,1.04,1.11
h_1,0.84,1.12,0.84,0.97,0.77,0.72,1.69,0.83,1.08,1.09,1.34,1.17,0.8,1.04,1.08,1.3
d_0,0.81,0.8,1.51,0.71,0.96,0.72,1.04,1.43,0.68,0.93,1.0,1.03,0.96,0.99,1.06,1.14
c_0,0.92,0.92,0.68,0.99,0.62,0.82,0.96,1.04,1.6,1.92,1.28,1.24,1.22,1.36,1.07,1.13
b_0,0.93,0.95,0.94,0.89,0.62,0.55,1.1,1.07,1.21,1.85,1.29,1.11,1.11,2.24,1.19,1.21
g_1,0.78,0.84,0.86,1.27,0.78,0.69,1.13,0.81,1.12,1.08,2.59,1.68,1.02,1.16,1.14,1.0
f_0,0.69,0.78,0.92,1.06,0.81,0.88,1.17,1.01,1.13,1.15,1.47,2.13,1.22,1.08,2.27,1.16
h_0,0.84,1.09,0.87,1.05,0.75,0.7,0.9,0.88,0.97,1.09,1.41,1.08,0.93,1.08,1.05,1.45
a_0,0.93,0.93,0.98,0.98,0.71,0.5,1.17,1.08,1.02,1.05,1.21,1.18,1.02,2.01,1.27,1.18
e_0,0.67,0.98,0.81,1.16,0.9,0.84,1.01,0.86,1.17,1.14,1.33,1.16,1.31,1.15,2.1,1.15
g_0,0.72,0.79,0.88,1.34,0.82,0.75,1.03,0.88,1.19,1.04,1.05,1.8,1.09,1.08,1.16,0.92
