,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,6.65,4.81,4.96,5.54,4.47,2.05,3.11,2.1,1.81,1.94,,1.46,2.19,1.62,2.25
e_1,3.59,0.66,6.58,5.87,5.37,5.13,2.49,2.54,2.54,2.37,2.04,2.0,1.65,2.02,2.0,
d_1,5.96,5.33,0.66,4.75,5.42,6.11,2.62,2.09,2.47,,2.31,2.13,1.75,2.01,1.18,1.62
c_1,6.48,5.59,7.66,0.64,5.9,6.51,2.74,2.03,,1.52,2.03,2.46,1.67,,1.93,1.73
b_1,6.47,6.7,6.14,4.0,0.63,6.92,3.59,2.37,2.54,2.07,,2.03,1.69,2.33,1.88,2.1
a_1,8.04,9.53,8.61,8.13,4.89,0.58,3.15,3.07,2.14,2.0,3.0,2.25,2.99,,1.79,
h_1,5.22,5.14,5.25,4.98,4.34,4.9,0.61,2.21,1.93,1.73,1.93,1.67,,1.87,1.4,1.37
g_1,5.22,7.55,4.44,7.01,6.56,5.5,2.3,0.58,2.06,1.65,1.79,2.48,1.15,1.29,,
c_0,4.92,4.45,3.16,,4.88,5.22,1.85,1.8,0.7,2.38,2.17,2.21,1.3,1.41,1.54,1.27
d_0,5.12,3.06,,5.0,5.8,6.37,2.34,2.31,1.38,0.73,1.69,1.53,1.6,1.86,1.22,1.4
b_0,6.27,8.2,4.58,5.95,,4.41,1.73,1.98,1.33,1.82,0.67,1.42,1.31,2.52,1.64,1.77
f_0,,4.97,6.18,4.19,5.1,4.17,2.8,1.87,1.64,1.97,2.25,0.68,1.51,1.51,1.15,1.9
h_0,4.18,4.3,4.51,6.07,4.18,3.14,,2.41,1.61,1.47,2.13,1.64,,1.47,1.51,
a_0,6.48,7.86,6.41,,6.02,,2.93,3.68,2.5,2.24,1.08,2.08,1.36,0.61,1.65,
g_0,6.16,4.26,5.91,4.23,5.64,4.47,1.61,,1.65,1.95,1.51,2.31,1.09,1.71,,
e_0,7.31,,7.22,6.78,5.41,,3.02,,3.12,2.15,2.02,1.2,,,,0.6
