,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.14,5.57,10.59,11.51,11.28,11.88,3.55,3.43,2.76,2.04,2.26,2.79,1.6,2.26,2.29,10.53
f_1,10.68,1.14,10.0,13.1,9.21,11.73,1.89,3.17,2.44,1.95,2.03,11.27,1.06,2.18,1.24,2.21
d_1,12.5,12.85,1.14,13.71,11.37,11.1,3.66,2.16,11.38,2.58,2.35,2.24,1.61,2.97,1.16,2.39
c_1,12.22,14.92,13.89,1.14,14.32,11.73,3.6,3.51,1.25,8.31,2.26,2.24,1.8,2.0,1.86,2.32
b_1,14.28,17.13,18.79,7.32,1.14,14.95,5.29,5.11,2.66,3.83,17.97,3.37,2.05,3.62,2.72,2.82
a_1,26.3,20.33,18.16,27.31,12.3,1.15,9.1,6.12,4.63,5.16,6.79,4.6,3.73,,3.55,4.51
h_1,26.12,29.84,23.22,25.38,28.8,25.05,1.88,7.17,5.88,5.25,4.6,5.75,14.07,5.43,4.64,3.95
g_1,33.46,38.54,30.96,33.23,28.2,31.42,6.61,1.9,8.16,7.03,5.68,5.87,3.94,7.17,8.35,6.72
d_0,16.73,39.78,108.37,28.78,46.67,33.71,8.81,12.46,2.72,6.21,7.14,5.87,6.92,5.51,6.82,4.79
c_0,33.46,37.0,18.16,97.67,36.58,34.98,10.58,15.78,8.26,2.62,8.19,6.49,6.81,6.33,6.3,6.32
b_0,38.53,33.94,36.53,64.46,142.47,40.3,9.61,11.45,7.46,3.74,2.69,7.56,5.34,7.31,4.07,7.02
f_0,35.98,168.18,37.37,32.89,36.58,29.9,12.82,7.1,10.52,10.67,7.96,2.58,5.41,10.27,4.18,7.18
h_0,57.79,56.92,42.78,51.16,51.08,46.35,31.33,14.79,11.19,9.55,10.31,9.52,26.37,9.27,7.77,8.1
a_0,53.72,59.68,51.6,67.15,67.68,,17.27,18.21,9.38,11.03,5.3,11.27,8.79,2.77,7.77,9.03
g_0,53.72,75.51,62.52,76.74,108.28,68.67,18.39,30.87,15.77,11.64,10.71,11.04,5.63,11.18,15.9,9.29
e_0,152.56,74.0,67.73,53.72,64.45,77.25,20.63,21.52,13.88,10.16,14.28,5.58,9.59,16.52,6.82,2.98
