,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.17,0.42,0.4,0.48,0.44,0.38,0.1,0.09,0.16,0.08,0.15,0.09,0.09,0.05,0.1,0.08
e_1,0.28,0.17,0.42,0.57,0.52,0.41,0.13,0.12,0.15,0.1,0.12,0.1,0.09,0.08,0.16,0.07
d_1,0.43,0.54,0.15,0.46,0.45,0.4,0.12,0.14,0.07,0.09,0.09,0.08,0.07,0.06,0.08,0.04
c_1,0.45,0.35,0.62,0.15,0.47,0.45,0.13,0.05,0.13,0.15,0.08,0.09,0.09,0.06,0.08,0.06
b_1,0.52,0.46,0.57,0.26,0.13,0.45,0.14,0.09,0.14,0.13,0.09,0.13,0.09,0.07,0.08,0.08
a_1,0.58,0.46,0.41,0.44,0.23,0.09,0.16,0.13,0.15,0.11,0.09,0.16,0.21,0.07,0.09,0.07
h_1,0.43,0.39,0.36,0.42,0.42,0.37,0.06,0.08,0.11,0.07,0.08,0.08,0.07,0.09,0.07,0.05
d_0,0.41,0.24,0.55,0.4,0.46,0.39,0.13,0.06,0.13,0.1,0.08,0.1,0.08,0.06,0.09,0.07
g_1,0.41,0.41,0.39,0.4,0.44,0.4,0.09,0.1,0.05,0.07,0.07,0.09,0.07,0.04,0.08,0.08
c_0,0.45,0.42,0.22,0.74,0.52,0.33,0.12,0.12,0.12,0.05,0.08,0.08,0.07,0.06,0.08,0.05
f_0,0.62,0.38,0.36,0.36,0.37,0.35,0.12,0.1,0.08,0.07,0.05,0.09,0.07,0.06,0.09,0.03
b_0,0.43,0.38,0.32,0.56,0.65,0.31,0.12,0.09,0.11,0.05,0.07,0.05,0.08,0.07,0.08,0.06
a_0,0.5,0.39,0.37,0.45,0.52,0.47,0.11,0.09,0.09,0.06,0.06,0.04,0.04,0.06,0.07,0.06
h_0,0.38,0.39,0.37,0.39,0.4,0.34,0.14,0.08,0.11,0.08,0.08,0.09,0.07,0.08,0.07,0.06
e_0,0.57,0.5,0.37,0.35,0.37,0.41,0.11,0.07,0.1,0.07,0.04,0.08,0.07,0.06,0.04,0.04
g_0,0.4,0.4,0.36,0.41,0.38,0.42,0.08,0.08,0.13,0.08,0.09,0.09,0.07,0.05,0.07,0.07
