,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.36,0.88,0.94,0.76,0.49,0.43,0.39,0.52,0.39,0.5,,0.3,0.24,0.27,0.27
e_1,0.73,1.0,1.01,0.95,0.7,0.84,0.56,0.49,0.49,0.5,0.28,0.35,0.3,0.36,,0.33
d_1,1.14,0.99,1.0,0.87,0.85,0.77,0.46,,0.36,0.67,0.39,0.34,0.38,0.39,0.34,0.21
c_1,1.06,1.05,1.15,1.0,1.07,0.93,0.61,0.34,0.34,,0.43,0.43,0.49,0.31,0.35,0.26
b_1,1.31,1.44,1.18,0.93,1.0,,0.65,0.58,0.49,0.41,,0.28,0.33,,,0.26
a_1,2.03,1.19,1.3,1.07,,1.0,0.53,0.79,,0.78,0.58,0.6,0.43,,,0.51
h_1,2.31,1.79,2.15,1.63,1.55,1.87,1.0,0.91,1.42,0.77,0.63,0.63,,0.5,0.6,0.79
d_0,2.57,2.03,,2.91,1.73,1.27,1.1,1.0,0.82,0.98,0.86,0.71,0.71,0.72,0.61,0.84
g_1,1.91,2.02,2.76,2.98,2.05,,0.7,1.22,1.0,0.96,0.89,1.05,0.74,0.65,0.72,
c_0,2.6,1.99,1.49,,2.42,1.27,1.29,1.02,1.04,1.0,1.17,0.8,0.86,0.75,0.75,0.99
b_0,1.98,3.52,2.57,2.33,,1.74,1.59,1.16,1.12,0.86,1.0,1.06,0.88,1.21,0.98,0.6
f_0,,2.82,2.95,2.31,3.54,1.65,1.59,1.4,0.95,1.26,0.94,1.0,0.98,0.78,1.22,0.61
h_0,3.29,3.34,2.6,2.06,3.06,2.34,,1.42,1.35,1.16,1.13,1.02,,1.19,1.04,1.02
a_0,4.11,2.76,2.58,3.21,,,2.0,1.38,1.54,1.33,0.83,1.28,0.84,1.0,,0.86
e_0,3.69,,2.9,2.86,,,1.68,1.65,1.4,1.33,1.02,0.82,0.96,,1.0,
g_0,3.69,3.01,4.8,3.8,3.92,1.98,1.27,1.19,,1.01,1.66,1.65,0.98,1.16,,
