,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.87,0.17,0.1,0.09,0.07,0.04,0.04,0.08,0.08,0.03,0.06,0.01,0.08,0.04,0.03,0.04
e_1,0.1,0.88,0.07,0.09,0.07,0.05,0.08,0.15,0.07,0.05,0.06,0.05,0.07,0.05,0.01,0.05
d_1,0.1,0.07,0.88,0.08,0.07,0.06,0.06,0.02,0.16,0.06,0.07,0.06,0.08,0.04,0.05,0.05
c_1,0.1,0.09,0.07,0.88,0.15,0.04,0.08,0.08,0.02,0.05,0.05,0.06,0.07,0.04,0.05,0.05
b_1,0.08,0.07,0.08,0.07,0.87,0.12,0.08,0.09,0.07,0.06,0.02,0.05,0.08,0.04,0.04,0.05
a_1,0.09,0.07,0.08,0.06,0.09,0.87,0.09,0.07,0.08,0.06,0.07,0.06,0.08,0.01,0.04,0.08
h_1,0.22,0.14,0.17,0.12,0.11,0.05,0.53,0.14,0.14,0.12,0.12,0.1,0.05,0.07,0.08,0.16
d_0,0.18,0.15,0.06,0.29,0.12,0.06,0.16,0.38,0.09,0.09,0.1,0.11,0.16,0.08,0.07,0.09
c_0,0.22,0.18,0.15,0.05,0.1,0.11,0.13,0.15,0.4,0.08,0.25,0.11,0.13,0.1,0.09,0.12
g_1,0.12,0.14,0.24,0.17,0.11,0.07,0.11,0.14,0.09,0.52,0.11,0.19,0.13,0.08,0.07,0.05
b_0,0.19,0.21,0.13,0.14,0.03,0.08,0.1,0.14,0.14,0.08,0.38,0.11,0.1,0.17,0.11,0.1
f_0,0.06,0.14,0.18,0.17,0.15,0.08,0.14,0.12,0.16,0.09,0.16,0.39,0.16,0.07,0.17,0.11
h_0,0.21,0.17,0.17,0.13,0.12,0.08,0.06,0.11,0.14,0.1,0.13,0.11,0.05,0.05,0.06,0.12
a_0,0.18,0.14,0.19,0.18,0.12,0.03,0.15,0.14,0.16,0.11,0.15,0.16,0.15,0.35,0.05,0.15
e_0,0.2,0.05,0.16,0.16,0.13,0.1,0.18,0.13,0.19,0.09,0.14,0.09,0.15,0.09,0.37,0.11
g_0,0.13,0.16,0.24,0.12,0.12,0.08,0.16,0.12,0.14,0.04,0.12,0.2,0.11,0.09,0.07,0.07
