,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.94,0.89,0.81,0.66,0.43,0.45,0.46,0.38,0.39,0.37,0.31,0.28,0.32,0.33
e_1,0.84,1.0,1.16,0.91,0.93,0.71,0.47,0.47,0.58,0.4,0.46,0.38,0.37,0.34,0.36,0.33
c_1,1.05,0.86,1.0,1.1,1.22,0.63,0.51,0.45,0.32,0.37,0.4,0.34,0.38,0.35,0.32,0.33
d_1,1.08,1.08,0.91,1.0,0.94,0.72,0.5,0.37,0.47,0.55,0.41,0.41,0.37,0.33,0.32,0.3
b_1,1.18,1.11,0.84,1.09,1.0,1.25,0.6,0.5,0.43,0.5,0.45,0.46,0.39,0.37,0.34,0.35
a_1,1.48,1.4,1.57,1.41,0.83,1.0,0.72,0.67,0.64,0.57,0.61,0.65,0.56,0.49,0.48,0.46
h_1,2.34,2.03,1.91,1.96,1.67,1.34,1.0,1.01,0.86,0.84,0.84,0.82,0.74,0.66,0.63,0.72
g_1,2.33,2.22,2.23,2.67,1.93,1.41,0.98,1.0,0.86,0.96,1.12,0.84,0.69,0.77,0.69,0.69
d_0,2.23,1.8,3.15,2.11,2.26,1.55,1.11,1.14,1.0,0.8,0.97,0.83,0.87,0.74,0.74,0.69
c_0,2.59,2.45,2.79,1.89,2.03,1.79,1.15,1.04,1.18,1.0,0.97,1.21,0.95,0.87,0.9,0.78
f_0,2.55,2.17,2.56,2.51,2.21,1.58,1.22,0.88,0.99,1.01,1.0,0.97,0.94,1.01,0.76,0.64
b_0,2.7,2.68,2.9,2.43,2.14,1.56,1.24,1.24,1.16,0.82,0.98,1.0,0.99,0.82,1.13,0.77
h_0,3.23,2.71,2.7,2.69,2.39,1.81,1.35,1.44,1.19,1.05,1.09,1.02,1.0,0.91,0.87,0.92
e_0,3.66,3.24,2.74,2.94,2.71,2.08,1.51,1.26,1.29,1.16,1.02,1.3,1.16,1.0,0.96,0.79
a_0,3.13,2.81,3.1,3.32,2.77,2.08,1.52,1.5,1.28,1.2,1.24,0.89,1.11,1.04,1.0,0.89
g_0,3.06,2.99,3.11,3.29,2.87,2.26,1.4,1.4,1.42,1.31,1.51,1.32,1.07,1.15,1.07,1.0
