,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.38,1.17,0.68,0.69,0.56,0.51,0.8,0.93,0.79,0.7,0.84,0.49,0.94,0.86,0.84,0.65
e_1,0.63,2.54,0.53,0.74,0.72,0.66,0.83,0.8,1.75,0.89,1.0,1.01,0.78,0.84,0.94,0.52
d_1,0.72,0.52,2.84,0.54,0.58,0.62,1.04,0.97,0.44,1.77,1.26,1.06,1.07,1.0,0.94,1.08
c_1,0.69,0.64,0.55,2.88,1.19,0.59,0.93,0.78,0.81,0.47,0.62,1.07,0.88,1.06,0.81,0.87
b_1,0.64,0.63,0.58,0.69,3.24,1.3,0.92,0.77,0.87,0.77,0.37,0.8,1.1,0.64,1.04,0.95
a_1,0.76,0.57,0.78,0.61,0.65,4.33,0.89,0.97,0.87,0.98,0.99,0.98,1.2,0.54,0.89,0.91
h_1,1.12,0.74,0.9,0.8,0.64,0.56,2.63,1.55,1.13,1.16,1.16,0.99,0.65,1.14,1.58,1.18
g_1,0.73,0.72,1.28,0.79,0.7,0.74,1.09,3.13,0.97,1.11,1.09,1.7,1.07,1.22,0.79,1.16
d_0,0.83,0.73,0.48,1.6,0.7,0.74,1.09,0.86,2.1,0.79,1.3,1.01,1.03,1.1,1.11,1.6
c_0,0.92,0.67,1.06,0.53,0.47,0.68,1.26,1.29,1.03,2.21,2.35,1.1,1.36,1.43,1.47,1.63
b_0,0.9,0.74,0.97,0.85,0.41,0.65,1.33,1.37,1.15,1.21,2.44,1.12,1.18,2.5,1.32,1.41
f_0,0.51,0.56,1.05,0.88,0.78,0.81,1.19,1.04,1.21,1.53,1.31,2.73,1.16,1.29,1.48,2.81
h_0,1.17,0.75,0.9,0.81,0.77,0.67,0.66,1.45,1.0,0.99,1.2,1.11,0.86,1.19,1.66,1.14
a_0,1.06,0.63,0.93,0.78,0.73,0.4,1.31,1.13,1.03,1.01,1.22,1.33,1.36,3.07,1.33,1.68
g_0,0.67,0.62,1.39,0.8,0.71,0.7,0.89,0.78,1.05,1.1,1.39,2.11,1.18,1.23,1.01,1.47
e_0,1.07,0.58,0.78,1.0,0.62,0.67,1.26,1.13,1.16,1.11,1.44,1.13,1.59,1.64,1.45,3.52
