,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.93,0.09,0.1,0.09,0.09,0.05,0.08,0.11,0.07,0.05,0.07,0.05,0.05,0.05,0.05,
f_1,0.16,0.93,0.12,0.11,0.07,0.07,0.08,0.08,0.06,0.06,0.05,,0.06,0.04,0.05,0.03
d_1,0.11,0.11,0.93,0.09,0.08,0.05,0.06,,0.1,0.05,0.06,0.06,0.07,0.05,0.05,0.04
c_1,0.12,0.1,0.1,0.93,0.12,0.09,0.07,0.07,,0.05,0.05,0.07,0.06,0.05,0.06,0.05
b_1,0.14,0.16,0.1,0.13,0.93,0.07,0.07,0.06,0.07,0.06,,0.06,0.07,,0.05,0.05
a_1,0.16,0.09,0.15,0.09,0.11,0.93,0.09,0.1,0.08,,,,0.09,,0.05,
h_1,0.3,0.37,0.3,0.3,0.2,0.16,0.71,0.18,0.23,0.23,0.14,0.13,,,0.2,0.09
d_0,0.29,0.31,,0.46,0.33,0.22,0.27,0.56,0.24,0.21,0.25,0.19,0.25,0.14,0.17,0.13
c_0,0.35,0.39,0.31,,0.24,0.18,0.23,0.25,0.57,0.2,0.35,0.17,0.19,0.16,0.19,
g_1,0.31,0.31,0.47,0.3,0.19,,0.15,0.21,0.2,0.71,0.17,0.17,0.2,0.14,,0.1
b_0,0.26,0.48,0.38,0.33,,,0.34,0.19,0.23,0.22,0.57,0.23,0.25,0.24,0.15,0.12
f_0,0.33,,0.4,0.27,0.31,,0.24,0.29,0.32,0.24,0.19,0.58,0.25,0.15,0.15,
h_0,0.59,0.6,0.45,0.49,0.37,0.24,,0.29,0.36,0.27,0.27,0.21,,0.22,0.38,
a_0,0.44,0.43,0.4,0.29,,,,0.33,0.32,0.21,0.21,0.24,0.19,0.57,,
g_0,0.49,0.47,0.66,0.5,0.5,0.31,0.32,0.33,0.25,,0.33,0.44,0.22,,,0.2
e_0,,0.38,0.54,0.35,0.4,,0.48,0.28,,0.29,0.3,,,,0.21,0.55
