,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.88,0.1,0.06,0.09,0.06,0.04,0.07,0.16,0.06,0.07,0.07,0.06,0.09,0.06,0.01,0.05
f_1,0.17,0.87,0.08,0.07,0.06,0.05,0.07,0.07,0.05,0.09,0.06,0.02,0.07,0.04,0.04,0.06
d_1,0.09,0.13,0.88,0.05,0.05,0.05,0.09,0.02,0.06,0.13,0.08,0.06,0.07,0.05,0.06,0.06
c_1,0.09,0.08,0.05,0.88,0.16,0.04,0.07,0.09,0.05,0.01,0.06,0.06,0.07,0.04,0.05,0.06
b_1,0.08,0.07,0.09,0.09,0.87,0.1,0.06,0.07,0.07,0.06,0.01,0.09,0.08,0.04,0.04,0.06
a_1,0.09,0.08,0.1,0.09,0.05,0.87,0.08,0.07,0.08,0.06,0.08,0.07,0.1,0.01,0.05,0.07
h_1,0.16,0.23,0.13,0.13,0.11,0.07,0.52,0.14,0.11,0.1,0.13,0.1,0.05,0.08,0.08,0.16
d_0,0.12,0.15,0.06,0.29,0.15,0.1,0.11,0.39,0.09,0.1,0.14,0.12,0.13,0.1,0.1,0.12
g_1,0.13,0.13,0.24,0.08,0.14,0.1,0.16,0.11,0.52,0.14,0.09,0.18,0.13,0.09,0.09,0.04
c_0,0.14,0.19,0.18,0.06,0.08,0.09,0.14,0.18,0.11,0.39,0.25,0.13,0.1,0.12,0.07,0.16
b_0,0.15,0.18,0.18,0.14,0.04,0.08,0.14,0.18,0.11,0.15,0.38,0.13,0.16,0.17,0.12,0.15
f_0,0.15,0.06,0.13,0.14,0.18,0.11,0.14,0.19,0.12,0.13,0.11,0.39,0.13,0.09,0.2,0.1
h_0,0.15,0.23,0.15,0.14,0.14,0.08,0.04,0.14,0.13,0.11,0.1,0.09,0.04,0.07,0.06,0.12
a_0,0.17,0.2,0.17,0.13,0.11,0.03,0.16,0.18,0.08,0.11,0.15,0.12,0.15,0.36,0.08,0.1
e_0,0.05,0.19,0.18,0.15,0.16,0.07,0.14,0.19,0.1,0.17,0.11,0.15,0.2,0.1,0.33,0.15
g_0,0.15,0.12,0.26,0.14,0.12,0.07,0.11,0.12,0.06,0.14,0.14,0.14,0.1,0.11,0.1,0.05
