,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.56,0.99,1.09,1.09,0.84,0.25,0.22,0.31,0.19,0.18,0.23,0.12,0.19,0.21,0.14
f_1,0.88,0.42,0.77,1.01,0.94,0.81,0.2,0.22,0.27,0.17,0.18,0.26,0.1,0.18,0.15,0.13
d_1,1.16,1.04,0.4,1.0,0.89,0.82,0.24,0.27,0.18,0.18,0.2,0.2,0.14,0.17,0.17,0.09
c_1,0.82,1.04,1.27,0.39,0.87,0.9,0.29,0.13,0.34,0.26,0.22,0.22,0.14,0.19,0.19,0.14
b_1,0.99,1.14,1.24,0.61,0.38,1.08,0.29,0.21,0.31,0.3,0.33,0.2,0.14,0.21,0.19,0.16
a_1,1.46,1.38,1.25,1.12,0.65,0.33,0.41,0.31,0.36,0.3,0.32,0.24,0.17,0.35,0.29,0.17
h_1,1.76,1.88,1.67,1.87,1.7,1.45,0.29,0.4,0.47,0.34,0.35,0.34,0.33,0.33,0.32,0.27
d_0,1.27,1.86,2.43,2.04,1.99,1.81,0.54,0.3,0.62,0.36,0.35,0.41,0.28,0.34,0.37,0.28
g_1,2.04,2.21,1.94,2.04,1.98,1.62,0.41,0.51,0.26,0.45,0.37,0.39,0.23,0.41,0.36,0.4
c_0,2.12,1.98,1.25,3.4,2.26,2.07,0.56,0.73,0.5,0.29,0.4,0.48,0.33,0.43,0.39,0.27
b_0,1.97,2.07,1.65,3.02,3.06,1.84,0.62,0.51,0.53,0.26,0.28,0.41,0.33,0.36,0.4,0.29
f_0,2.12,2.66,2.18,2.32,1.99,1.83,0.62,0.54,0.43,0.48,0.45,0.27,0.37,0.43,0.37,0.23
h_0,2.28,2.65,2.5,2.45,2.29,1.98,0.88,0.52,0.66,0.52,0.47,0.47,0.5,0.42,0.39,0.35
a_0,2.17,2.39,2.45,2.86,2.89,2.61,0.78,0.54,0.65,0.41,0.31,0.55,0.43,0.27,0.45,0.3
e_0,3.22,3.06,2.63,2.82,2.68,2.11,0.8,0.58,0.56,0.48,0.5,0.29,0.38,0.54,0.27,0.32
g_0,2.8,2.8,2.47,2.82,2.51,2.21,0.61,0.57,0.86,0.5,0.48,0.52,0.31,0.5,0.43,0.44
