,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.87,1.48,1.16,1.22,3.45,14.86,26.18,28.9,32.51,32.24,41.46,53.23,96.11,105.05,82.63
d_1,1.14,1.0,1.12,1.0,1.39,2.49,17.79,23.23,28.59,46.33,38.22,42.93,77.44,70.57,92.7,87.49
e_1,0.68,0.9,1.0,1.2,1.54,3.69,18.88,24.11,36.95,35.01,39.88,49.41,78.52,95.25,84.94,103.9
c_1,0.86,1.0,0.84,1.0,1.67,2.2,12.87,18.83,18.55,22.79,30.29,30.5,66.45,75.18,80.08,100.02
b_1,0.82,0.72,0.65,0.6,1.0,3.32,13.36,19.38,19.21,25.63,25.09,31.62,45.47,70.56,62.1,82.24
a_1,0.29,0.4,0.27,0.45,0.3,1.0,5.71,7.56,8.5,9.67,11.9,13.21,20.69,27.32,,27.37
h_1,0.07,0.06,0.05,0.08,0.07,0.17,1.0,2.03,1.53,1.88,2.05,2.94,4.25,6.47,5.11,6.9
g_1,0.04,0.04,0.04,0.05,0.05,0.13,0.48,1.0,0.98,1.31,1.6,1.82,2.12,2.59,3.45,3.71
d_0,0.03,0.04,0.03,0.06,0.05,0.12,0.65,1.05,1.0,1.11,1.14,1.4,2.36,2.86,3.69,3.67
c_0,0.03,0.02,0.03,0.05,0.04,0.11,0.53,0.8,0.94,1.0,1.24,1.9,2.18,2.61,3.64,3.2
f_0,0.03,0.03,0.03,0.03,0.04,0.08,0.47,0.67,0.9,0.81,1.0,1.17,1.73,1.94,2.54,4.08
b_0,0.02,0.02,0.02,0.03,0.03,0.07,0.34,0.53,0.69,0.52,0.85,1.0,1.77,1.85,3.28,2.27
h_0,0.02,0.01,0.01,0.02,0.02,0.05,0.24,0.46,0.41,0.44,0.61,0.57,1.0,1.57,1.38,1.33
g_0,0.01,0.01,0.01,0.01,0.01,0.04,0.16,0.39,0.32,0.4,0.5,0.56,0.63,1.0,1.01,1.13
a_0,0.01,0.01,0.01,0.01,0.02,,0.19,0.27,0.27,0.23,0.39,0.3,0.73,1.04,1.0,0.83
e_0,0.01,0.01,0.01,0.01,0.01,0.04,0.15,0.28,0.27,0.31,0.25,0.45,0.81,0.88,1.39,1.0
