,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.06,2.65,2.43,1.98,2.04,1.95,0.86,1.43,0.76,0.57,0.7,0.55,0.52,0.57,0.57,0.32
f_1,1.93,1.06,2.49,2.55,2.13,1.57,0.67,0.75,0.71,0.88,0.66,1.01,0.44,0.54,0.5,0.52
e_1,2.56,1.53,1.06,2.59,2.5,2.18,1.01,0.94,0.72,1.14,0.79,0.78,0.65,0.67,0.78,0.67
c_1,3.22,2.28,2.15,1.06,2.55,1.88,0.9,0.45,0.9,0.89,0.6,0.62,0.57,0.65,0.69,0.58
b_1,2.96,3.19,2.63,1.67,1.07,3.8,1.07,0.89,0.86,0.9,1.4,0.73,0.63,0.77,0.68,0.56
a_1,3.29,4.01,3.58,4.73,1.8,1.07,1.26,0.9,1.0,1.3,1.15,1.31,0.75,1.48,1.03,0.81
h_1,5.5,6.34,6.27,5.84,5.5,4.94,1.34,1.85,1.63,2.44,1.58,1.72,1.88,1.37,1.52,1.52
d_0,9.43,6.56,3.96,8.47,6.31,6.5,3.08,1.53,2.08,2.78,2.46,2.42,1.76,1.89,1.89,1.92
c_0,4.52,7.45,7.55,10.98,7.83,6.48,2.77,2.62,1.54,2.83,2.31,1.79,1.56,1.95,1.55,1.7
g_1,7.92,7.34,6.48,7.6,7.03,5.76,2.29,2.22,2.09,1.35,1.93,2.21,1.18,1.78,1.81,1.8
b_0,6.35,8.39,7.66,10.21,9.64,6.3,3.26,2.14,1.48,2.81,1.51,2.13,1.73,2.19,2.41,1.57
f_0,8.16,11.38,8.18,8.18,8.52,6.33,3.1,2.78,2.26,2.06,2.33,1.54,1.96,2.42,2.45,1.27
h_0,9.87,10.15,8.57,9.49,10.08,7.4,4.63,2.76,2.84,3.64,2.52,2.58,2.98,2.27,2.1,2.27
a_0,9.11,11.39,10.17,10.08,14.36,12.59,4.37,2.84,2.56,4.62,1.94,2.72,2.32,1.58,2.53,2.39
e_0,10.21,15.55,14.84,9.88,10.37,9.78,3.51,3.79,3.49,3.47,3.09,1.68,2.59,2.67,1.61,2.16
g_0,13.45,13.25,9.9,11.53,13.8,10.07,3.76,3.09,3.52,4.8,3.29,3.94,2.07,3.12,2.68,2.74
