,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,109.65,80.54,91.26,91.21,153.46,465.03,11659.58,19330.58,37613.3,24682.91,43073.88,62946.06,115213.94,204559.75,173041.38,184364.15
e_1,67.07,111.12,76.93,125.5,153.98,496.14,13482.5,22581.19,25113.33,39159.56,39284.0,70093.71,109599.74,215847.65,188765.63,188204.55
f_1,65.12,97.93,122.14,104.54,148.9,424.15,10091.3,19386.22,20597.09,25034.79,30564.94,49767.76,92232.39,173695.87,161063.3,144974.59
c_1,66.98,58.28,77.86,146.85,215.18,459.3,10188.91,20460.23,15399.13,18909.78,22673.23,48692.55,100923.81,173369.9,133414.22,182317.35
b_1,60.12,55.7,69.64,71.64,203.2,667.91,8637.01,16625.97,18583.99,20611.02,23009.25,48806.76,86409.17,153085.11,93620.86,160471.32
a_1,41.56,40.52,47.94,56.68,71.43,517.49,6734.37,12383.98,15049.83,15466.56,24417.81,36218.01,66123.22,92322.47,88455.1,102052.88
h_1,18.7,15.95,24.09,23.14,37.91,111.47,3678.15,6503.65,6030.89,5667.65,9003.63,15690.6,23423.65,55094.13,43941.41,49108.76
g_1,19.34,14.14,16.87,17.56,29.58,85.18,2041.22,5982.97,4911.87,4101.6,7120.11,14072.44,19445.91,33915.67,34938.12,39711.57
c_0,13.75,15.16,19.13,19.19,25.35,80.43,2472.9,4180.46,5930.87,5331.9,10662.86,12385.81,23256.58,39956.16,43154.96,41458.69
d_0,11.95,12.08,17.31,30.26,29.38,85.08,2237.83,4431.54,3311.95,5922.02,6010.88,11278.76,21153.48,39370.75,34091.76,42105.92
b_0,12.4,12.34,16.11,22.65,24.1,53.22,2016.23,3775.49,3662.51,4798.44,7824.87,9745.92,21134.08,35699.97,52504.59,34870.3
f_0,11.9,9.59,11.78,16.65,20.59,68.34,1652.59,3290.98,3729.34,4104.75,5585.61,11433.07,17673.96,28188.5,25955.19,44915.09
h_0,9.68,9.67,13.7,13.22,18.02,58.09,1264.79,3263.13,2981.68,3177.45,4358.38,6722.58,12071.75,31363.83,18368.54,25212.59
g_0,9.47,7.05,9.04,10.66,15.63,56.29,1168.21,2107.77,2653.31,2539.39,3924.28,8666.39,9892.09,19802.49,17593.0,22298.22
a_0,7.81,7.33,9.17,12.74,19.18,39.95,1272.51,2135.37,2271.44,2453.46,2976.03,6554.31,13220.88,22587.72,25057.23,20003.81
e_0,7.6,6.22,9.8,10.56,15.96,49.04,1203.17,2210.23,2265.92,2293.47,3797.95,5227.91,12451.52,19183.06,18059.71,27378.84
