,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.9,0.43,0.18,0.19,0.15,0.11,0.19,0.19,0.14,0.17,0.07,0.15,0.17,0.08,0.08,0.13
e_1,0.25,0.9,0.26,0.17,0.15,0.13,0.17,0.37,0.16,0.19,0.2,0.18,0.23,0.08,0.11,0.13
c_1,0.26,0.18,0.89,0.2,0.34,0.12,0.17,0.16,0.13,0.06,0.15,0.12,0.2,0.08,0.1,0.18
d_1,0.23,0.23,0.16,0.9,0.16,0.12,0.19,0.1,0.18,0.39,0.23,0.2,0.19,0.13,0.11,0.16
b_1,0.26,0.21,0.2,0.18,0.88,0.26,0.17,0.21,0.15,0.14,0.16,0.07,0.21,0.11,0.11,0.17
a_1,0.26,0.21,0.26,0.23,0.15,0.88,0.17,0.23,0.12,0.16,0.17,0.15,0.23,0.13,0.06,0.15
h_1,0.43,0.26,0.29,0.22,0.18,0.13,0.56,0.21,0.26,0.22,0.18,0.21,0.13,0.11,0.12,0.25
d_0,0.32,0.26,0.44,0.14,0.23,0.16,0.25,0.45,0.16,0.19,0.24,0.19,0.22,0.11,0.12,0.21
g_1,0.29,0.24,0.23,0.42,0.17,0.14,0.22,0.19,0.56,0.22,0.32,0.21,0.2,0.15,0.15,0.12
c_0,0.27,0.33,0.17,0.27,0.17,0.12,0.26,0.24,0.23,0.45,0.24,0.42,0.25,0.17,0.17,0.19
f_0,0.17,0.22,0.28,0.3,0.22,0.19,0.26,0.26,0.19,0.28,0.45,0.22,0.23,0.34,0.13,0.23
b_0,0.31,0.31,0.28,0.25,0.12,0.13,0.25,0.24,0.24,0.23,0.21,0.47,0.26,0.15,0.29,0.23
h_0,0.42,0.26,0.27,0.25,0.2,0.17,0.18,0.25,0.24,0.19,0.18,0.22,0.17,0.14,0.14,0.25
e_0,0.24,0.2,0.29,0.26,0.23,0.15,0.3,0.32,0.22,0.25,0.24,0.26,0.31,0.39,0.19,0.24
a_0,0.38,0.25,0.3,0.28,0.19,0.09,0.24,0.25,0.17,0.22,0.22,0.22,0.26,0.14,0.4,0.22
g_0,0.18,0.27,0.25,0.38,0.22,0.15,0.26,0.17,0.13,0.24,0.34,0.22,0.24,0.17,0.13,0.14
