,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.05,2.23,2.26,2.03,1.98,1.5,0.71,0.53,0.71,0.96,0.68,0.52,0.6,0.44,0.54,0.37
f_1,1.92,1.06,2.26,2.19,1.82,1.66,0.64,0.9,0.56,0.62,0.54,0.79,0.48,0.38,0.4,0.49
e_1,2.22,1.46,1.06,2.66,2.21,2.06,0.95,0.74,0.7,0.85,0.75,0.69,0.62,0.46,0.8,0.53
c_1,2.68,2.3,1.74,1.06,2.53,1.77,0.99,0.86,0.86,0.4,0.61,0.66,0.58,0.59,0.62,0.45
b_1,2.86,2.75,2.41,1.44,1.06,2.57,0.96,0.95,0.77,0.83,0.96,0.7,0.6,0.58,0.72,0.63
a_1,3.74,3.45,3.43,3.81,1.96,1.07,1.41,1.46,1.12,1.02,1.14,1.03,1.4,0.94,0.89,0.73
h_1,4.99,6.48,5.07,5.09,5.73,4.76,1.29,2.18,1.4,1.49,1.54,1.45,1.38,1.56,1.32,1.22
g_1,6.78,6.23,7.19,6.36,5.88,4.34,1.92,1.32,1.87,2.06,1.89,2.06,1.66,1.09,1.62,1.72
c_0,4.07,8.11,6.13,9.35,7.41,5.47,2.88,2.34,1.49,2.57,2.22,1.77,1.95,1.32,1.72,1.38
d_0,9.0,7.16,4.16,8.04,6.29,6.44,3.15,2.84,1.84,1.48,1.9,2.21,1.69,1.5,1.83,1.63
b_0,6.6,8.21,6.51,8.29,10.08,5.95,2.7,2.53,1.45,2.39,1.47,2.23,2.52,1.89,2.08,1.7
f_0,7.65,11.67,6.96,7.71,7.13,5.92,2.83,1.88,2.14,2.09,1.92,1.51,1.82,1.93,2.25,1.23
a_0,8.52,9.51,9.7,9.79,10.38,12.87,3.63,3.56,2.28,2.8,1.56,2.69,1.57,2.09,1.98,2.0
h_0,9.69,9.96,10.21,8.34,7.81,6.04,4.49,4.17,3.01,2.83,2.51,2.43,2.27,2.82,2.23,2.23
e_0,8.94,14.5,12.48,9.8,9.37,8.47,3.31,3.15,2.68,3.01,2.4,1.68,2.58,2.18,1.57,1.89
g_0,10.37,11.37,9.08,10.59,8.88,9.59,3.18,5.61,3.19,2.76,2.36,3.02,2.53,1.94,2.52,2.35
