,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.67,1.46,2.03,2.03,1.75,2.13,0.96,0.89,1.04,0.76,0.87,0.86,0.89,0.71,0.55,1.86
f_1,2.11,0.67,2.06,1.89,1.77,2.14,0.76,1.42,0.78,0.69,0.71,1.57,0.7,0.43,0.77,0.54
d_1,2.4,1.95,0.65,2.24,1.96,1.9,1.09,0.68,1.43,0.8,0.88,0.64,0.65,0.61,0.47,0.64
c_1,2.17,2.25,2.45,0.65,2.56,1.6,0.9,0.82,0.47,1.28,0.74,0.66,0.8,0.66,0.7,0.74
b_1,2.89,2.77,2.23,1.37,0.62,2.48,0.93,0.99,0.86,0.95,1.43,1.19,0.92,0.67,0.6,0.6
a_1,2.86,2.65,2.52,3.72,1.71,0.56,1.83,1.09,1.12,1.0,0.92,0.85,2.46,0.83,0.7,1.05
h_1,2.65,2.63,2.44,2.77,2.96,1.92,0.6,1.15,0.97,1.07,1.02,0.86,0.82,1.35,0.98,0.97
g_1,2.78,2.62,3.13,3.03,2.99,2.59,1.08,0.58,0.99,0.99,0.85,0.94,0.83,0.64,0.96,0.89
d_0,1.7,3.14,6.27,3.59,2.97,2.43,1.37,1.62,0.66,1.13,1.07,1.01,0.87,0.94,0.8,0.84
c_0,2.61,3.78,1.76,6.18,3.41,2.76,1.32,1.32,1.27,0.66,1.27,1.28,1.04,0.92,0.87,0.95
b_0,2.76,2.81,2.4,3.72,6.51,3.0,1.29,1.49,1.15,0.72,0.63,1.11,1.16,1.09,1.05,0.91
f_0,2.76,5.14,3.12,3.1,2.58,3.14,1.38,1.0,1.06,0.91,0.99,0.64,1.13,1.34,0.55,1.17
a_0,3.1,3.31,3.47,3.66,3.55,,1.64,1.78,1.62,1.09,0.78,1.12,0.6,0.78,0.95,1.5
h_0,3.0,4.69,3.02,3.13,3.44,2.58,2.1,2.09,1.26,1.24,1.08,0.97,1.51,1.59,0.98,0.93
g_0,3.6,3.36,4.51,3.59,4.19,3.41,1.32,2.5,1.38,1.24,1.18,1.55,1.15,0.85,1.45,1.13
e_0,3.34,5.33,4.28,3.63,4.02,2.58,1.42,1.59,1.19,1.66,1.4,0.69,1.04,1.11,1.05,0.6
