,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.19,0.02,0.02,0.03,0.03,0.02,0.06,0.05,0.15,0.05,0.06,0.05,0.04,0.09,,0.06
f_1,0.05,2.24,0.03,0.03,0.03,0.03,0.05,0.05,0.06,0.05,,0.07,0.04,0.09,0.03,0.06
c_1,0.03,0.03,2.34,0.03,0.04,0.02,0.06,0.05,0.06,,0.07,0.06,0.06,0.09,0.04,0.07
d_1,0.03,0.03,0.02,2.39,0.03,0.02,0.06,0.07,,0.08,0.08,0.07,0.06,0.07,0.05,0.06
b_1,0.03,0.03,0.03,0.03,2.44,0.04,0.07,0.04,0.07,0.07,0.06,,,0.07,0.04,0.08
a_1,0.03,0.04,0.04,0.02,0.03,3.15,0.07,,0.06,0.07,0.04,0.05,,0.08,,
h_1,0.14,0.15,0.09,0.09,0.1,0.08,2.62,0.27,0.28,0.27,0.16,0.2,0.15,,0.2,0.29
g_1,0.07,0.11,0.1,0.19,0.08,,0.19,2.91,0.18,0.28,0.32,0.22,0.17,0.28,0.22,
d_0,0.17,0.17,0.26,,0.17,0.09,0.25,0.17,2.03,0.3,0.22,0.2,0.18,0.42,0.22,0.42
c_0,0.15,0.15,,0.17,0.12,0.08,0.24,0.26,0.29,2.14,0.34,0.6,0.25,0.43,0.23,0.34
f_0,0.17,,0.13,0.11,0.12,0.13,0.38,0.25,0.38,0.29,2.21,0.28,0.34,0.39,0.37,0.32
b_0,0.15,0.13,0.17,0.18,,0.1,0.35,0.34,0.18,0.26,0.29,2.31,0.36,0.27,0.27,0.39
a_0,0.13,0.17,0.12,0.15,,,0.24,0.18,0.23,0.43,0.33,0.18,2.64,0.51,,0.4
h_0,0.22,0.37,0.23,0.24,0.16,0.15,,0.44,0.54,0.47,0.26,0.37,0.56,,0.23,0.58
e_0,,0.18,0.15,0.13,0.19,,0.3,0.28,0.28,0.34,0.27,0.23,,0.36,2.83,0.27
g_0,0.18,0.25,0.26,0.32,0.16,,0.5,,0.44,0.25,0.67,0.52,0.34,0.49,0.29,
