,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,0.22,0.38,0.4,0.34,0.33,0.11,0.12,0.08,0.08,0.07,0.11,0.07,0.05,0.09,0.05
f_1,0.33,0.15,0.36,0.38,0.34,0.31,0.07,0.1,0.07,0.08,0.07,0.1,0.06,0.04,0.06,0.06
c_1,0.29,0.35,0.15,0.38,0.37,0.34,0.11,0.1,0.05,0.08,0.09,0.07,0.07,0.05,0.06,0.05
d_1,0.42,0.35,0.36,0.14,0.37,0.3,0.09,0.06,0.11,0.07,0.07,0.07,0.07,0.04,0.06,0.03
b_1,0.38,0.4,0.23,0.38,0.13,0.35,0.1,0.11,0.07,0.11,0.1,0.07,0.06,0.06,0.08,0.05
a_1,0.35,0.39,0.33,0.36,0.2,0.1,0.13,0.12,0.08,0.11,0.08,0.09,0.11,0.06,0.1,0.06
h_1,0.32,0.41,0.3,0.29,0.3,0.25,0.05,0.09,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05
g_1,0.36,0.33,0.32,0.3,0.34,0.25,0.08,0.04,0.07,0.07,0.07,0.07,0.07,0.03,0.06,0.06
d_0,0.22,0.3,0.35,0.4,0.37,0.32,0.11,0.12,0.05,0.08,0.07,0.08,0.07,0.05,0.07,0.05
b_0,0.33,0.32,0.43,0.24,0.42,0.31,0.09,0.08,0.07,0.05,0.04,0.07,0.06,0.04,0.06,0.04
c_0,0.38,0.34,0.48,0.19,0.34,0.35,0.1,0.09,0.11,0.06,0.05,0.07,0.06,0.05,0.07,0.04
f_0,0.33,0.47,0.28,0.3,0.35,0.32,0.09,0.06,0.07,0.06,0.06,0.04,0.06,0.05,0.06,0.03
a_0,0.32,0.35,0.34,0.27,0.41,0.35,0.09,0.1,0.07,0.04,0.05,0.06,0.04,0.05,0.05,0.04
h_0,0.32,0.32,0.34,0.31,0.3,0.27,0.11,0.09,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05
e_0,0.43,0.47,0.28,0.27,0.35,0.29,0.08,0.07,0.07,0.07,0.06,0.03,0.07,0.05,0.03,0.04
g_0,0.31,0.35,0.31,0.33,0.32,0.31,0.07,0.12,0.08,0.06,0.06,0.07,0.05,0.04,0.06,0.05
