,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.16,1.71,2.2,2.9,2.25,2.33,8.78,7.14,19.18,10.52,11.52,10.92,15.45,11.76,9.21,14.94
d_1,2.13,6.41,2.48,1.86,2.1,2.37,8.92,8.16,6.23,17.85,12.43,11.63,13.91,13.61,12.1,17.47
f_1,3.71,1.92,6.35,2.24,2.06,2.03,6.4,6.99,9.9,10.27,10.4,7.71,17.65,11.28,9.27,17.52
c_1,2.06,2.3,2.41,6.87,4.05,1.68,7.0,7.58,9.41,5.64,6.45,7.83,16.54,11.39,10.44,14.88
b_1,2.06,2.19,2.23,2.19,7.28,4.45,9.48,8.01,10.03,9.27,5.26,9.28,14.57,7.75,9.58,15.26
a_1,2.09,2.63,2.33,2.33,2.18,10.46,8.27,9.56,9.76,11.05,11.82,12.31,17.0,7.61,11.66,16.73
h_1,2.19,2.47,3.44,2.53,2.06,2.53,18.14,12.09,10.55,11.37,12.24,11.51,14.48,12.08,11.76,22.95
g_1,2.05,3.83,2.33,2.38,2.21,2.13,8.28,19.22,8.86,12.43,11.22,17.73,17.35,11.9,13.63,12.47
d_0,2.18,1.88,2.58,4.7,2.44,2.01,9.13,9.19,17.7,8.5,11.29,11.45,18.26,11.63,13.38,16.72
c_0,2.28,2.77,2.66,1.87,1.94,2.64,9.72,9.43,10.37,18.23,22.84,15.13,19.26,15.32,15.12,18.08
b_0,2.0,2.73,2.62,2.66,1.95,2.39,8.89,10.41,10.89,10.84,19.91,14.82,18.16,25.78,14.99,18.03
f_0,1.91,2.82,2.28,2.9,2.16,2.36,10.47,10.5,12.23,11.05,11.29,21.98,21.05,13.18,30.02,18.06
h_0,2.17,2.89,3.67,2.6,2.32,1.89,6.31,10.86,11.49,10.3,12.1,10.96,13.43,13.61,13.8,23.44
a_0,2.43,2.49,2.67,2.66,2.55,1.62,10.54,10.85,10.52,11.14,12.94,15.22,19.8,26.44,14.83,18.37
e_0,1.72,3.14,3.02,2.68,2.16,1.88,10.04,8.67,11.73,12.32,12.88,12.29,22.94,14.3,29.5,20.71
g_0,2.06,3.61,2.47,2.55,2.23,2.53,8.72,7.58,10.58,11.21,12.02,18.06,19.82,14.62,16.74,14.61
