,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,93.01,70.29,57.42,85.17,128.04,276.58,6699.0,15658.33,16315.05,16453.82,41727.71,32331.79,102426.54,85379.61,90428.44,216868.72
e_1,43.36,101.14,56.36,87.77,102.97,354.31,7450.16,25170.24,15201.63,20043.39,35609.34,69003.51,116962.95,108580.83,120526.31,233722.13
d_1,45.78,44.78,126.76,49.89,104.1,298.98,6485.5,9712.46,12963.19,28965.33,41334.57,54999.21,115769.77,126195.78,125595.16,178509.88
c_1,36.48,36.56,57.0,146.63,168.95,241.92,6113.62,12261.69,11659.67,8158.49,30666.66,51829.83,109104.2,90441.42,88590.74,171356.89
b_1,27.92,38.02,51.89,47.78,218.29,447.29,5315.66,10731.41,10329.07,12576.61,18048.7,37950.19,64734.23,54794.01,55948.72,152817.47
a_1,25.85,22.75,36.61,43.04,48.98,504.16,3725.51,7562.74,7933.48,10662.14,23934.97,41687.42,63935.81,72397.34,54504.3,146265.46
h_1,14.47,9.85,17.57,18.96,26.92,71.73,3027.06,3928.52,5726.86,4938.33,10120.6,14048.49,22240.3,32789.81,29079.82,69418.75
d_0,9.58,8.42,8.97,25.96,25.01,65.13,1486.42,4608.48,2658.72,3365.51,7448.51,12912.94,23675.11,25212.75,20414.8,51823.16
g_1,7.91,8.21,17.95,15.11,23.67,61.96,1071.15,2962.85,5579.19,3201.72,9031.22,18905.84,20676.54,22526.56,25412.96,36807.02
c_0,9.26,7.85,11.41,12.63,22.45,62.22,1544.09,3020.57,4131.76,5568.31,13085.95,12742.82,24140.32,22605.28,29630.06,48339.15
b_0,6.79,8.04,10.51,12.41,12.91,36.94,1194.96,2506.14,2657.76,2527.01,9370.74,10751.42,15955.57,19846.17,33597.34,31341.13
f_0,4.57,5.39,10.53,9.95,20.6,38.74,863.78,1951.54,1975.58,2629.97,5478.13,13064.82,17463.02,26500.88,15042.31,29603.25
h_0,6.34,5.11,6.63,8.49,14.51,44.53,606.3,1830.59,2141.95,2201.24,4932.74,6963.76,10749.46,14018.69,14044.71,31858.93
e_0,5.31,3.29,7.2,8.69,16.31,32.06,837.31,1846.9,1939.8,2199.92,4675.99,6186.08,12831.18,22152.25,11240.96,37462.39
a_0,5.5,4.5,7.34,9.02,14.38,17.03,847.3,1617.88,1591.33,2082.98,3740.93,6945.22,11919.36,12922.52,21514.64,23332.53
g_0,3.3,3.52,8.96,6.97,12.09,27.58,636.04,1316.96,1419.7,1736.85,3722.41,8622.11,9758.17,9787.59,11852.73,18245.13
