,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.95,0.52,0.49,0.61,0.51,0.33,0.4,0.34,0.54,0.32,0.33,0.32,0.31,0.25,0.22,0.28
f_1,0.88,0.95,0.49,0.5,0.42,0.31,0.35,0.32,0.36,0.27,0.25,0.3,0.29,0.23,0.15,0.23
d_1,0.58,0.66,0.95,0.46,0.49,0.4,0.39,0.29,0.28,0.54,0.31,0.37,0.33,0.25,0.28,0.24
c_1,0.54,0.62,0.56,0.95,0.77,0.36,0.43,0.32,0.3,0.25,0.29,0.24,0.33,0.22,0.22,0.28
b_1,0.57,0.65,0.52,0.48,0.95,0.64,0.41,0.36,0.36,0.37,0.36,0.3,0.35,0.22,0.26,0.26
a_1,0.7,0.77,0.61,0.64,0.47,0.94,0.45,0.38,0.46,0.38,0.39,0.41,0.47,0.3,0.23,0.31
h_1,0.78,1.07,0.84,0.67,0.71,0.51,0.79,0.63,0.47,0.47,0.45,0.47,0.38,0.35,0.37,0.45
g_1,0.82,0.86,1.12,0.84,0.7,0.53,0.5,0.78,0.49,0.52,0.68,0.51,0.47,0.38,0.43,0.39
d_0,0.74,0.9,0.66,1.37,0.8,0.54,0.62,0.53,0.73,0.38,0.5,0.5,0.48,0.36,0.39,0.46
c_0,0.99,1.1,0.73,0.75,0.62,0.71,0.68,0.55,0.66,0.7,0.53,0.92,0.55,0.51,0.51,0.49
f_0,0.81,0.95,0.97,0.92,0.77,0.6,0.66,0.55,0.59,0.57,0.71,0.58,0.57,0.41,0.77,0.41
b_0,1.03,1.1,0.86,1.02,0.6,0.51,0.67,0.57,0.57,0.42,0.62,0.71,0.57,0.73,0.44,0.52
h_0,0.99,1.32,0.95,0.96,0.84,0.56,0.66,0.7,0.55,0.51,0.56,0.52,0.48,0.38,0.43,0.58
a_0,1.03,1.22,1.05,0.92,0.97,0.4,0.78,0.62,0.59,0.56,0.68,0.48,0.72,0.66,0.52,0.56
e_0,0.9,1.23,1.05,1.07,0.93,0.72,0.76,0.68,0.58,0.57,0.45,0.61,0.57,0.44,0.66,0.48
g_0,0.94,1.01,1.37,1.02,0.91,0.7,0.75,0.6,0.59,0.61,0.81,0.54,0.57,0.41,0.52,0.46
