,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.32,1.02,0.91,0.82,0.88,0.83,1.06,0.96,0.9,0.99,0.83,0.84,0.99,1.02,0.81
e_1,0.76,1.0,1.17,0.97,1.17,0.97,1.07,1.03,1.49,1.06,1.04,1.2,1.11,1.05,1.09,1.34
c_1,0.98,0.86,1.0,1.09,1.33,0.92,1.13,1.03,0.71,0.82,0.86,0.98,0.96,0.84,1.01,1.01
d_1,1.1,1.02,0.93,1.0,0.94,1.06,0.96,0.79,0.9,1.27,0.96,1.01,0.91,1.05,0.85,0.98
b_1,1.21,0.87,0.75,1.06,1.0,1.39,1.14,1.12,1.06,1.19,1.09,1.0,1.15,0.88,1.14,0.87
a_1,1.14,1.03,1.1,0.94,0.73,1.0,1.06,1.13,1.17,1.01,0.98,1.1,1.24,1.03,1.06,0.88
h_1,1.17,0.97,0.91,1.01,0.86,0.92,1.0,1.13,0.91,1.03,1.07,0.84,1.02,0.93,1.17,0.93
g_1,0.96,0.96,0.96,1.25,0.93,0.94,0.88,1.0,0.93,0.96,0.99,1.14,0.86,1.03,0.92,1.15
d_0,1.0,0.68,1.4,1.09,1.02,0.79,1.13,1.08,1.0,0.78,1.03,1.06,1.11,1.18,1.07,1.1
c_0,1.08,0.97,1.26,0.78,0.79,0.95,0.95,1.11,1.25,1.0,1.44,0.98,1.18,1.37,1.09,1.14
b_0,1.0,0.97,1.22,1.02,0.97,0.97,0.98,1.03,0.91,0.66,1.0,0.89,1.0,1.29,0.88,0.94
f_0,1.16,0.87,1.03,0.99,0.97,0.9,1.08,0.87,1.03,1.03,1.09,1.0,1.16,1.02,0.85,1.5
h_0,1.22,0.91,1.01,1.09,0.9,0.84,0.98,1.17,0.89,0.85,0.96,0.82,1.0,1.0,1.1,0.93
a_0,0.98,0.94,1.14,1.03,1.23,1.12,1.01,1.0,0.84,0.73,0.76,1.02,0.93,1.0,0.96,1.11
g_0,0.99,0.97,0.94,1.17,0.87,0.89,0.85,1.06,0.88,0.86,1.04,1.21,0.88,1.0,1.0,1.05
e_0,1.3,0.7,1.04,0.95,1.15,1.14,1.07,0.84,0.97,0.88,1.08,0.7,1.02,0.8,0.93,1.0
