,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,11244.67,5142.73,7907.46,5725.05,8012.04,54174.62,5853113.57,24384177.4,17547367.31,17287186.79,38997330.6,54442453.11,150490269.43,220186209.46,183127081.48,458532892.65
f_1,7319.15,12838.95,5719.18,5714.63,7536.28,52749.3,5257732.1,14438780.49,19392154.21,15256599.21,41333258.55,34167204.89,135373261.19,188108859.02,216391915.69,427347918.97
c_1,3530.01,4550.95,18537.69,6417.36,14703.09,55196.77,5390994.77,11592509.37,12906945.58,19090147.0,31657425.68,54338159.23,104442856.46,210003748.65,268144838.26,421874832.76
d_1,4050.19,4933.58,4469.58,19770.96,7875.06,56300.94,6991451.05,7898562.87,38391482.91,22433187.04,58233117.22,50375828.0,162646471.78,231971425.65,324488656.94,388560934.8
b_1,3764.55,4556.49,7379.33,6647.16,26235.0,96713.67,6178269.6,12936391.15,18503920.6,17356357.74,26697276.04,44348941.17,106073077.95,209414108.13,268949368.23,466726306.27
a_1,4391.71,4589.08,6761.82,7325.08,7965.16,274732.47,6930047.0,13893571.48,18493963.39,19910099.42,41500541.69,54579599.04,126855194.84,211578000.15,322047015.5,551999770.28
h_1,4040.0,7369.98,6381.67,7579.86,9018.23,56509.14,13905079.99,12862751.44,20798858.73,27449281.09,49770013.28,54399698.53,172694528.93,152686085.85,338700851.08,592393726.0
d_0,4219.29,5328.54,12788.71,4934.77,9985.54,48396.04,6111353.04,25177401.66,16268678.09,22222501.17,33739031.42,53603745.04,145858058.83,233621191.51,284454952.87,418553483.95
c_0,4363.84,5855.54,5737.45,8458.23,7208.29,59037.41,7730134.05,14726236.35,39688423.48,25604347.0,96682431.55,76101146.47,212549966.28,241322989.03,296557713.61,507860225.48
g_1,4068.75,4231.48,6799.23,11396.92,9397.19,57574.47,5953768.63,10485036.39,23771827.99,56720919.52,47055950.51,89403252.6,157675022.01,222514610.27,412912051.52,320204851.11
b_0,3943.26,5063.26,7023.21,8243.46,7215.92,70293.14,7163229.23,15319984.63,26678604.82,23965812.64,93722226.76,67957612.57,313921787.18,246066432.55,349916628.66,528624792.16
f_0,3462.03,4513.85,6938.23,7810.89,10342.52,67167.05,7397808.87,16661007.39,23864989.48,24078676.03,56750101.21,117216697.12,175880208.17,302009320.26,668710113.7,483675508.76
a_0,4331.1,5722.11,7369.28,7474.82,8831.82,44619.84,7665978.89,16065905.59,26309083.39,23102600.22,52612846.03,57111179.07,325977796.85,250969299.79,324365785.72,498586297.4
h_0,4387.26,6804.7,6999.66,7735.55,8567.11,62003.08,4444941.91,14476253.94,24348240.45,29045019.89,50923130.18,58853475.02,145729944.59,206483376.33,330918629.88,703901499.55
e_0,3229.42,5888.61,6123.68,8893.43,9492.24,49982.5,8208780.13,15099633.3,27970709.71,25912468.14,52057974.71,56561287.04,175229933.37,258212895.88,681742139.75,618719412.59
g_0,4023.74,4727.47,6284.14,11652.7,8596.66,56509.14,7089401.02,12777387.78,26917267.39,15427190.89,40187983.82,89692695.92,141245946.29,215568644.89,330059100.97,450085922.34
