,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.31,0.64,0.46,0.4,0.51,0.52,0.98,0.99,0.67,2.35,1.4,1.27,1.61,1.1,1.41,1.09
f_1,0.55,2.32,1.04,0.53,0.42,0.31,1.04,0.9,1.14,1.09,1.0,0.46,1.44,0.92,1.37,0.5
e_1,0.52,0.6,2.33,0.59,0.56,0.42,1.09,0.82,2.16,1.25,1.21,1.08,1.34,0.98,1.21,0.44
c_1,0.57,0.52,0.52,2.53,0.95,0.35,1.11,1.02,1.15,0.37,0.78,1.24,1.52,0.96,1.08,0.88
b_1,0.62,0.57,0.58,0.56,2.61,0.85,0.83,0.81,1.08,0.99,0.53,1.23,1.29,0.86,1.4,0.95
a_1,0.66,0.57,0.54,0.57,0.48,3.09,1.14,1.11,1.13,1.16,1.34,1.14,1.44,0.55,1.46,1.07
h_1,0.78,1.03,0.6,0.7,0.55,0.44,3.08,1.63,1.45,1.32,1.23,1.2,1.21,1.23,1.83,1.24
g_1,1.12,0.67,0.59,0.68,0.61,0.42,1.19,3.29,1.18,1.44,1.33,1.86,1.75,1.02,0.74,1.25
d_0,0.48,0.71,0.67,1.3,0.6,0.47,1.33,1.2,2.67,1.21,1.47,1.05,1.72,0.94,1.46,1.45
c_0,0.84,0.83,0.66,0.43,0.52,0.51,1.54,1.12,1.59,2.57,2.8,1.37,1.89,1.56,1.49,1.5
b_0,0.85,0.89,0.68,0.72,0.35,0.49,1.45,1.16,1.26,1.44,2.87,1.19,2.08,2.39,1.94,1.05
f_0,0.86,0.52,0.61,0.61,0.63,0.56,1.29,1.18,1.6,1.66,1.53,2.96,1.74,1.46,1.75,2.9
h_0,0.82,1.11,0.74,0.59,0.57,0.4,0.72,1.47,1.19,1.43,1.61,1.25,1.24,1.19,2.17,0.94
a_0,0.71,0.88,0.74,0.75,0.6,0.22,1.42,1.11,1.65,1.77,1.62,1.25,2.08,3.11,1.67,1.03
g_0,1.14,0.59,0.65,0.7,0.56,0.42,1.03,0.8,1.19,1.57,1.52,2.12,1.78,1.23,1.14,1.32
e_0,0.94,0.84,0.47,0.62,0.7,0.52,1.29,1.27,1.33,1.4,1.81,1.31,2.15,1.21,1.62,3.23
