,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.87,1.07,1.4,1.79,3.92,18.18,27.43,42.14,32.5,39.76,53.57,72.22,79.91,129.97,151.26
f_1,1.13,1.0,1.11,1.2,1.67,3.84,15.89,25.17,29.09,26.39,34.61,37.18,64.61,56.45,127.13,89.64
d_1,0.93,0.91,1.0,1.01,1.52,3.59,15.48,17.07,23.15,32.49,33.07,34.33,53.54,59.73,83.34,96.78
c_1,0.72,0.84,1.0,1.0,1.93,2.64,13.47,17.94,17.75,21.72,24.25,30.59,55.59,56.66,97.27,93.53
b_1,0.54,0.6,0.66,0.52,1.0,3.23,9.08,12.93,14.65,18.61,20.29,23.57,38.11,39.81,61.4,65.23
a_1,0.26,0.27,0.28,0.38,0.31,1.0,5.53,6.23,7.67,7.39,10.1,10.56,17.39,19.78,31.85,32.96
h_1,0.06,0.06,0.06,0.08,0.11,0.17,1.0,1.52,1.6,1.77,2.08,2.15,3.72,4.09,7.31,6.78
g_1,0.04,0.04,0.06,0.05,0.07,0.15,0.66,1.0,1.06,1.28,1.44,2.04,2.71,2.66,4.48,5.64
d_0,0.02,0.03,0.05,0.06,0.06,0.13,0.64,0.94,1.0,0.84,1.23,1.56,2.35,2.54,4.17,4.47
c_0,0.03,0.04,0.03,0.05,0.05,0.13,0.57,0.84,1.17,1.0,1.67,1.49,2.53,2.62,3.51,4.06
b_0,0.02,0.03,0.03,0.04,0.05,0.1,0.48,0.69,0.79,0.6,1.0,1.22,2.57,2.03,3.42,3.55
f_0,0.02,0.03,0.03,0.03,0.04,0.09,0.47,0.48,0.67,0.67,0.85,1.0,1.68,1.88,2.11,4.29
a_0,0.01,0.02,0.02,0.02,0.03,0.05,0.26,0.37,0.43,0.37,0.42,0.6,1.0,0.97,1.82,1.81
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.24,0.38,0.4,0.39,0.48,0.51,1.02,1.0,1.84,1.65
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.13,0.22,0.24,0.27,0.3,0.45,0.57,0.56,1.0,1.01
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.18,0.22,0.25,0.28,0.25,0.54,0.55,0.96,1.0
