,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.85,1.36,0.95,0.93,0.56,0.45,0.42,0.45,0.38,0.42,0.28,0.24,0.31,0.22,0.32
d_1,1.17,1.0,0.89,0.86,0.81,0.71,0.59,0.36,0.39,0.68,0.38,0.39,0.37,0.35,0.32,0.27
e_1,0.74,1.12,1.0,1.02,0.93,0.86,0.46,0.67,0.5,0.38,0.43,0.41,0.41,0.3,0.38,0.36
c_1,1.05,1.16,0.98,1.0,1.34,0.86,0.41,0.31,0.53,0.4,0.36,0.4,0.4,0.35,0.26,0.34
b_1,1.08,1.23,1.07,0.75,1.0,1.12,0.64,0.5,0.44,0.49,0.41,0.38,0.44,0.35,0.43,0.37
a_1,1.77,1.4,1.16,1.16,0.89,1.0,0.68,0.59,0.69,0.56,0.5,0.52,0.48,0.38,0.49,0.38
h_1,2.22,1.71,2.14,2.47,1.63,1.51,1.0,0.77,1.05,0.84,0.84,0.81,0.77,0.62,0.63,0.72
d_0,2.34,2.65,1.44,3.07,2.0,1.83,1.32,1.0,0.77,0.83,0.98,0.83,0.77,0.65,0.75,0.79
g_1,2.3,2.64,2.03,2.05,2.2,1.41,0.97,1.24,1.0,0.89,1.01,1.14,0.78,0.81,0.84,0.72
c_0,2.81,1.45,2.69,2.49,1.98,1.59,1.21,1.22,1.13,1.0,1.46,0.92,1.07,0.73,0.75,0.73
b_0,2.48,2.53,2.31,2.88,2.22,1.96,1.17,0.98,1.02,0.69,1.0,0.86,0.93,1.11,0.89,0.69
f_0,4.0,2.51,2.29,2.54,2.56,1.83,1.23,1.22,0.91,1.1,1.11,1.0,0.85,0.92,1.2,0.61
h_0,4.09,2.62,2.43,2.63,2.26,1.99,1.32,1.29,1.28,1.0,1.07,1.16,1.0,0.75,0.88,1.18
a_0,3.32,2.76,3.19,2.91,2.93,,1.55,1.51,1.25,1.48,0.89,1.25,1.3,1.0,0.78,0.93
e_0,5.17,2.95,2.13,3.81,2.34,1.93,1.61,1.38,1.21,1.4,1.18,0.91,1.15,1.41,1.0,0.9
g_0,3.1,3.86,2.93,3.05,2.63,2.46,1.4,1.25,1.36,1.35,1.46,1.63,0.81,1.0,1.09,1.0
