,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.17,0.06,0.03,0.02,0.02,0.02,0.06,0.06,0.07,0.06,0.05,,0.08,0.05,0.06,0.04
e_1,0.03,2.24,0.03,0.02,0.03,0.03,0.06,0.04,0.13,0.08,0.04,0.06,0.06,0.04,0.05,
c_1,0.03,0.03,2.3,0.02,0.06,0.02,0.06,0.05,0.07,,0.04,0.07,0.09,0.03,0.05,0.04
d_1,0.04,0.02,0.03,2.36,0.03,0.02,0.06,0.05,,0.12,0.04,0.04,0.1,0.05,0.08,0.03
b_1,0.02,0.03,0.03,0.02,2.56,0.05,0.06,0.04,0.08,0.07,,0.03,0.1,0.03,0.08,0.04
a_1,0.04,0.04,0.03,0.02,0.02,3.11,0.06,0.05,0.07,0.06,,,0.1,,,
h_1,0.2,0.12,0.09,0.12,0.1,0.07,2.73,0.19,0.24,0.21,0.19,0.2,,0.16,0.32,0.14
g_1,0.08,0.12,0.12,0.17,0.07,0.08,0.17,2.96,0.22,0.2,0.25,0.33,0.33,0.19,,0.14
d_0,0.15,0.11,0.25,,0.13,0.09,0.31,0.21,1.96,0.31,0.23,0.33,0.55,0.28,0.35,0.2
c_0,0.16,0.15,,0.15,0.11,0.07,0.21,0.22,0.33,2.06,0.61,0.33,0.39,0.25,0.44,0.28
b_0,0.15,0.14,0.1,0.19,,,0.31,0.33,0.28,0.32,2.22,0.23,0.36,0.35,0.33,0.33
f_0,,0.12,0.15,0.14,0.09,,0.26,0.23,0.38,0.33,0.26,2.39,0.59,0.24,0.38,0.41
h_0,0.33,0.19,0.27,0.23,0.19,0.1,,0.52,0.37,0.47,0.59,0.27,,0.47,0.57,0.32
a_0,0.12,0.12,0.18,0.18,0.09,,0.34,0.18,0.28,0.24,0.32,0.32,0.3,2.72,0.41,
g_0,0.22,0.19,0.16,0.34,0.19,,0.41,,0.26,0.33,0.62,0.7,0.59,0.4,,0.42
e_0,0.11,,0.15,0.17,0.16,,0.2,0.27,0.5,0.24,0.31,0.38,0.42,,0.44,2.83
