,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.37,0.45,0.3,0.25,0.24,0.29,0.5,0.57,0.63,0.64,,0.69,0.7,0.54,0.49,0.69
e_1,0.22,2.39,0.28,0.28,0.28,0.21,0.51,0.53,1.07,0.64,0.66,0.56,0.81,0.54,,0.64
d_1,0.25,0.25,2.41,0.31,0.26,0.23,0.59,0.55,,1.0,0.76,0.54,0.79,0.61,0.66,0.67
c_1,0.3,0.29,0.26,2.59,0.45,0.26,0.53,0.54,0.51,,0.81,0.56,0.75,0.64,0.52,0.7
b_1,0.33,0.3,0.29,0.21,2.79,0.44,0.57,0.5,0.83,0.52,0.52,,0.92,0.5,0.55,
a_1,0.29,0.27,0.23,0.26,0.24,3.34,0.71,0.47,0.37,0.58,0.64,0.63,1.06,,,0.86
h_1,0.75,0.49,0.48,0.55,0.51,0.46,3.8,1.35,1.22,1.11,1.3,1.08,,1.02,1.28,1.5
g_1,0.47,0.53,0.64,0.52,0.57,0.74,0.97,4.04,0.85,1.15,1.41,1.2,1.21,1.59,1.39,
d_0,0.52,0.5,,1.05,0.62,0.9,1.19,1.39,3.46,1.41,1.75,1.27,1.47,1.45,1.06,1.92
c_0,0.66,0.71,0.48,,0.6,0.58,1.23,0.89,1.23,3.61,1.27,2.7,1.36,1.92,1.56,1.49
f_0,,0.47,0.58,0.57,0.71,0.52,1.3,1.08,1.1,1.69,3.78,1.23,2.18,1.24,2.51,2.13
b_0,0.57,0.56,0.77,0.61,,0.51,1.22,1.25,1.6,0.95,1.23,3.94,1.88,,1.04,1.84
h_0,0.99,0.68,0.79,0.67,0.66,0.63,,1.95,2.08,1.79,1.48,1.55,,1.08,1.27,3.4
a_0,0.7,0.71,0.64,0.67,0.62,,1.02,1.0,1.45,1.1,1.24,,2.25,4.55,1.5,
e_0,0.77,,0.66,0.72,0.63,,1.55,0.95,1.63,1.28,1.12,1.42,2.27,1.27,4.56,
g_0,0.65,0.82,1.18,0.7,,0.76,1.63,,1.2,2.08,1.68,1.76,1.57,,,
