,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.88,1.49,1.31,1.66,4.35,18.77,29.52,38.52,45.59,58.27,52.79,78.89,95.36,130.79,160.17
f_1,1.14,1.0,1.21,1.18,1.39,3.38,14.85,27.65,26.82,39.1,44.94,44.84,69.96,75.34,81.89,132.18
c_1,0.69,0.83,1.0,1.21,1.43,3.16,14.49,21.36,16.4,35.27,39.4,37.71,61.82,67.5,88.79,103.18
d_1,0.76,0.86,0.84,1.0,1.01,2.75,12.85,16.87,20.09,42.73,36.99,39.61,64.69,66.46,79.29,82.08
b_1,0.61,0.72,0.7,1.0,1.0,3.83,12.55,18.4,19.34,35.6,34.09,36.9,48.62,63.8,77.31,100.16
a_1,0.23,0.29,0.31,0.34,0.27,1.0,4.91,6.71,6.79,11.45,11.99,16.03,19.9,24.64,30.16,35.18
h_1,0.05,0.07,0.07,0.08,0.08,0.2,1.0,1.76,1.45,2.32,2.62,2.79,3.84,4.98,5.55,8.36
g_1,0.03,0.04,0.05,0.06,0.05,0.15,0.57,1.0,0.89,1.56,2.17,1.88,2.95,3.03,4.02,4.92
d_0,0.03,0.04,0.06,0.05,0.05,0.14,0.7,1.11,1.0,1.52,1.72,1.91,3.12,3.06,4.4,5.32
c_0,0.02,0.03,0.03,0.02,0.03,0.08,0.44,0.6,0.64,1.0,1.05,1.43,1.87,1.94,2.22,3.23
f_0,0.02,0.02,0.03,0.03,0.03,0.08,0.37,0.44,0.57,0.89,1.0,1.09,1.64,1.89,3.29,2.27
b_0,0.02,0.02,0.03,0.03,0.03,0.06,0.35,0.55,0.51,0.7,0.91,1.0,2.08,1.66,1.86,2.79
a_0,0.01,0.01,0.02,0.02,0.02,0.05,0.24,0.35,0.34,0.53,0.61,0.5,1.0,1.11,1.55,1.62
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.34,0.33,0.52,0.51,0.59,0.91,1.0,1.14,1.74
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.24,0.24,0.43,0.32,0.49,0.66,0.85,1.01,1.17
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.12,0.2,0.2,0.33,0.45,0.37,0.58,0.56,0.91,1.0
