,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.66,0.89,0.71,1.0,0.74,0.77,0.93,1.55,0.97,0.84,1.03,0.93,0.99,1.05,1.02,0.78
f_1,1.23,1.71,0.76,0.8,0.68,0.74,0.89,1.0,0.92,0.95,0.92,0.66,0.9,0.97,0.87,0.7
d_1,0.81,0.9,1.94,0.65,0.73,0.73,1.02,0.7,0.88,1.66,1.19,1.05,1.11,1.1,1.08,1.04
c_1,0.73,0.76,0.84,1.96,1.39,0.82,0.93,0.84,0.9,0.62,0.73,0.93,0.86,0.88,0.8,1.04
b_1,0.73,0.76,0.86,0.77,2.41,1.5,1.0,0.8,1.01,0.92,0.7,1.07,0.78,1.0,0.96,1.05
a_1,0.85,0.85,0.87,0.84,0.7,2.97,1.12,0.88,1.04,1.0,1.05,1.08,0.69,0.98,1.14,0.9
h_1,0.88,1.13,0.98,0.75,0.82,0.75,1.63,0.85,1.14,0.98,0.91,0.99,0.97,0.84,1.27,1.12
d_0,0.76,0.91,0.68,1.5,0.9,0.75,0.98,1.36,0.97,0.7,1.02,0.96,1.02,0.96,0.96,1.08
g_1,0.78,0.72,1.29,0.89,0.81,0.71,1.02,0.85,2.13,1.04,1.15,1.65,1.14,0.98,0.89,1.34
c_0,0.96,0.97,0.9,0.86,0.71,0.67,1.02,1.1,1.0,1.49,1.82,1.2,1.38,1.13,1.28,1.11
b_0,0.86,0.99,0.95,0.98,0.71,0.53,1.02,1.12,1.06,0.89,1.59,1.19,2.02,1.04,1.06,1.12
f_0,0.76,0.81,1.04,0.94,0.9,0.78,0.93,1.0,1.01,0.95,1.13,1.76,1.18,1.19,1.23,2.19
a_0,0.83,0.92,1.07,1.08,0.88,0.52,1.09,1.06,1.12,0.96,1.02,1.16,2.01,1.06,1.1,1.41
h_0,0.88,1.09,0.94,0.9,0.72,0.93,0.91,1.06,1.39,0.9,1.01,1.01,1.12,0.76,1.33,1.04
g_0,0.74,0.82,1.27,0.88,0.82,0.7,1.07,0.88,0.79,0.95,1.14,1.48,1.27,1.0,0.88,1.23
e_0,0.67,1.04,0.93,0.89,0.95,0.88,1.0,0.98,1.12,1.07,1.06,1.03,1.16,1.15,1.02,1.96
