,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,0.89,1.03,1.08,0.92,0.83,0.96,1.04,0.88,0.98,0.87,0.82,0.84,0.82,1.06
e_1,0.86,1.0,0.92,1.14,0.94,0.98,1.13,1.39,1.04,1.01,0.94,1.18,1.1,1.08,1.22,1.15
d_1,1.13,1.04,1.0,0.86,0.9,0.96,0.96,1.07,0.82,1.32,1.03,0.93,1.1,1.05,1.0,0.8
c_1,0.96,0.87,1.18,1.0,1.31,0.9,1.05,0.75,0.99,0.85,0.9,0.97,1.02,0.92,1.02,0.96
b_1,0.92,1.06,1.1,0.78,1.0,1.5,1.1,0.92,0.99,0.99,1.0,0.94,0.98,0.89,0.84,1.01
a_1,1.08,1.0,1.03,1.12,0.67,1.0,1.08,1.04,1.14,1.01,1.27,1.15,1.08,1.29,1.19,1.16
h_1,1.17,0.89,1.03,0.98,0.95,0.88,1.0,0.95,1.28,0.94,0.96,0.93,1.0,0.92,0.99,1.13
d_0,1.01,0.72,0.94,1.35,1.18,0.95,1.06,1.0,1.04,0.91,0.89,1.09,1.03,0.98,1.11,1.12
g_1,0.97,0.95,1.22,1.0,0.98,0.87,0.79,0.97,1.0,0.87,1.03,1.17,0.91,1.03,0.97,0.9
c_0,1.12,0.97,0.79,1.14,1.0,0.97,1.09,1.14,1.17,1.0,1.34,1.04,1.03,1.14,0.97,1.03
b_0,1.07,1.02,0.94,1.14,0.98,0.73,1.05,1.04,1.03,0.74,1.0,1.03,0.97,1.36,1.01,0.96
f_0,1.17,0.83,1.08,1.05,1.1,0.85,1.04,0.9,0.86,0.98,1.03,1.0,1.09,0.97,1.33,0.87
h_0,1.23,0.92,0.92,0.95,0.97,0.94,1.0,0.96,1.1,0.96,1.03,0.9,1.0,0.96,1.04,1.06
a_0,1.18,0.93,0.94,1.08,1.1,0.77,1.12,1.0,0.99,0.9,0.77,1.04,1.0,1.0,1.04,0.92
e_0,1.2,0.89,1.0,0.98,1.16,0.86,1.05,0.89,1.04,0.93,1.03,0.75,0.93,0.99,1.0,1.14
g_0,0.91,0.85,1.24,0.98,1.04,0.94,0.87,0.86,1.12,0.95,1.02,1.17,0.91,1.11,0.93,1.0
